# Organism: H. sapiens
# Application version: 3.6.0
# Database version: 13 August 2021 00:00:00
# Network generated on: 22 July 2023
# Author: GeneMANIA (genemania.org)
# Notes: Network weight reflects the data source relevance for predicting the function of interest
Entity 1	Entity 2	Weight	Network group	Network
PLA2G12B	GNG4	0.028859334	Co-expression	Watanabe-Muto-2011
PLA2G12B	FITM2	0.01720824	Co-expression	Watanabe-Muto-2011
PLA2G12B	EPDR1	0.026178954	Co-expression	Watanabe-Muto-2011
PLA2G12B	QPRT	0.017135005	Co-expression	Watanabe-Muto-2011
PLA2G12B	ZSWIM3	0.02409923	Co-expression	Watanabe-Muto-2011
PLA2G12B	TSPAN6	0.01624555	Co-expression	Watanabe-Muto-2011
PLA2G12B	PRR15	0.016489273	Co-expression	Watanabe-Muto-2011
PLA2G12B	PLAGL2	0.018688733	Co-expression	Watanabe-Muto-2011
PLA2G12B	DDX27	0.013585319	Co-expression	Watanabe-Muto-2011
PLA2G12B	RNF43	0.018916909	Co-expression	Watanabe-Muto-2011
PLA2G12B	ABAT	0.023889765	Co-expression	Watanabe-Muto-2011
PLA2G12B	PPP1R14C	0.023273643	Co-expression	Watanabe-Muto-2011
PLA2G12B	DPEP1	0.023664996	Co-expression	Watanabe-Muto-2011
PRDX5	HUNK	0.016978385	Co-expression	Watanabe-Muto-2011
PRDX5	CYP2B6	0.015740106	Co-expression	Watanabe-Muto-2011
PRDX5	TINAG	0.01738666	Co-expression	Watanabe-Muto-2011
PRDX5	GGT7	0.01678459	Co-expression	Watanabe-Muto-2011
PRDX5	FITM2	0.010109169	Co-expression	Watanabe-Muto-2011
PRDX5	CDHR1	0.014537536	Co-expression	Watanabe-Muto-2011
PRDX5	SEMA5A	0.011032219	Co-expression	Watanabe-Muto-2011
PRDX5	ACOT8	0.015608488	Co-expression	Watanabe-Muto-2011
PRDX5	CTTNBP2	0.01455686	Co-expression	Watanabe-Muto-2011
PRDX5	ZSWIM3	0.015304131	Co-expression	Watanabe-Muto-2011
PRDX5	ENGASE	0.006775886	Co-expression	Watanabe-Muto-2011
PRDX5	PPP1R14D	0.009410631	Co-expression	Watanabe-Muto-2011
PRDX5	CLDN3	0.0097110085	Co-expression	Watanabe-Muto-2011
PRDX5	RNF43	0.0114426445	Co-expression	Watanabe-Muto-2011
PRDX5	PPP1R14C	0.012981574	Co-expression	Watanabe-Muto-2011
VIL1	CAB39L	0.020441577	Co-expression	Watanabe-Muto-2011
VIL1	BCL11A	0.0154434	Co-expression	Watanabe-Muto-2011
VIL1	MOGAT3	0.021894054	Co-expression	Watanabe-Muto-2011
VIL1	IYD	0.019094294	Co-expression	Watanabe-Muto-2011
VIL1	DPEP1	0.017164594	Co-expression	Watanabe-Muto-2011
ACSL5	CDHR1	0.024533678	Co-expression	Watanabe-Muto-2011
ACSL5	CTTNBP2	0.024942303	Co-expression	Watanabe-Muto-2011
STK38	DDX27	0.01882577	Co-expression	Watanabe-Muto-2011
STK38	VIL1	0.02535436	Co-expression	Watanabe-Muto-2011
KRT23	TCF7	0.0117094	Co-expression	Watanabe-Muto-2011
KRT23	ZMYND8	0.014260272	Co-expression	Watanabe-Muto-2011
KRT23	SHROOM4	0.024348995	Co-expression	Watanabe-Muto-2011
KRT23	NKD1	0.026450258	Co-expression	Watanabe-Muto-2011
KRT23	QPRT	0.017188882	Co-expression	Watanabe-Muto-2011
KRT23	RNF43	0.017665004	Co-expression	Watanabe-Muto-2011
GPSM2	NKD1	0.020227564	Co-expression	Watanabe-Muto-2011
GPSM2	VAV3	0.018511005	Co-expression	Watanabe-Muto-2011
GPSM2	ACSL6	0.020997986	Co-expression	Watanabe-Muto-2011
DUSP18	DUSP16	0.040719338	Co-expression	Watanabe-Muto-2011
TLE2	GGT7	0.034381844	Co-expression	Watanabe-Muto-2011
TLE2	NOX1	0.028170448	Co-expression	Watanabe-Muto-2011
TLE2	IHH	0.02719275	Co-expression	Watanabe-Muto-2011
TLE2	RUBCNL	0.026641399	Co-expression	Watanabe-Muto-2011
TLE2	MOGAT3	0.031850763	Co-expression	Watanabe-Muto-2011
TLE2	TSPAN6	0.018046519	Co-expression	Watanabe-Muto-2011
TLE2	ENGASE	0.013140985	Co-expression	Watanabe-Muto-2011
TLE2	PLAGL2	0.021976428	Co-expression	Watanabe-Muto-2011
TLE2	DDX27	0.016635096	Co-expression	Watanabe-Muto-2011
PRAP1	CYP2B6	0.021198787	Co-expression	Watanabe-Muto-2011
PRAP1	TCF7	0.010108247	Co-expression	Watanabe-Muto-2011
PRAP1	ZMYND8	0.0130565	Co-expression	Watanabe-Muto-2011
PRAP1	CDHR1	0.020198563	Co-expression	Watanabe-Muto-2011
PRAP1	CTTNBP2	0.020810395	Co-expression	Watanabe-Muto-2011
PRAP1	SLC39A5	0.014483231	Co-expression	Watanabe-Muto-2011
PRAP1	QPRT	0.014491243	Co-expression	Watanabe-Muto-2011
PRAP1	ATP9A	0.021356862	Co-expression	Watanabe-Muto-2011
PRAP1	PRR15	0.012623276	Co-expression	Watanabe-Muto-2011
PRAP1	PPP1R14D	0.013033834	Co-expression	Watanabe-Muto-2011
PRAP1	DDX27	0.0110556735	Co-expression	Watanabe-Muto-2011
PRAP1	RNF43	0.01507391	Co-expression	Watanabe-Muto-2011
PRAP1	DPEP1	0.018829744	Co-expression	Watanabe-Muto-2011
PRAP1	PLA2G12B	0.020370692	Co-expression	Watanabe-Muto-2011
PRAP1	PRDX5	0.011222642	Co-expression	Watanabe-Muto-2011
PRAP1	KRT23	0.01828081	Co-expression	Watanabe-Muto-2011
ACE2	NAALADL2	0.019485364	Co-expression	Watanabe-Muto-2011
ACE2	TP53RK	0.021956598	Co-expression	Watanabe-Muto-2011
ACE2	PRR15	0.015465008	Co-expression	Watanabe-Muto-2011
ACE2	PLAGL2	0.019318221	Co-expression	Watanabe-Muto-2011
ACE2	DDX27	0.014496053	Co-expression	Watanabe-Muto-2011
ACE2	VIL1	0.01940836	Co-expression	Watanabe-Muto-2011
GGH	CYP2B6	0.01865176	Co-expression	Watanabe-Muto-2011
GGH	FITM2	0.012466869	Co-expression	Watanabe-Muto-2011
GGH	EPDR1	0.01755834	Co-expression	Watanabe-Muto-2011
GGH	SEMA5A	0.013364684	Co-expression	Watanabe-Muto-2011
GGH	CTTNBP2	0.017839203	Co-expression	Watanabe-Muto-2011
GGH	QPRT	0.012214609	Co-expression	Watanabe-Muto-2011
GGH	TSPAN6	0.011183942	Co-expression	Watanabe-Muto-2011
GGH	PRR15	0.010787036	Co-expression	Watanabe-Muto-2011
GGH	PLAGL2	0.013332087	Co-expression	Watanabe-Muto-2011
GGH	DDX27	0.009905799	Co-expression	Watanabe-Muto-2011
GGH	RNF43	0.013730693	Co-expression	Watanabe-Muto-2011
GGH	PPP1R14C	0.017178744	Co-expression	Watanabe-Muto-2011
GGH	DPEP1	0.015638437	Co-expression	Watanabe-Muto-2011
GGH	PLA2G12B	0.018591186	Co-expression	Watanabe-Muto-2011
GGH	PRDX5	0.009851302	Co-expression	Watanabe-Muto-2011
GGH	PRAP1	0.013789422	Co-expression	Watanabe-Muto-2011
SHROOM2	GPR143	0.013296061	Co-expression	Watanabe-Muto-2011
SHROOM2	ACE2	0.014621181	Co-expression	Watanabe-Muto-2011
GRM8	CYP2B6	0.023581242	Co-expression	Tripathi-Beauchamp-2014
POFUT1	KHDRBS3	0.017499804	Co-expression	Tripathi-Beauchamp-2014
ZMYND8	POFUT1	0.018447544	Co-expression	Tripathi-Beauchamp-2014
SHROOM4	KHDRBS3	0.011169238	Co-expression	Tripathi-Beauchamp-2014
SHROOM4	SPIN3	0.009967723	Co-expression	Tripathi-Beauchamp-2014
AXIN2	CFTR	0.015013274	Co-expression	Tripathi-Beauchamp-2014
AXIN2	HUNK	0.019746048	Co-expression	Tripathi-Beauchamp-2014
AXIN2	GRM8	0.013182307	Co-expression	Tripathi-Beauchamp-2014
CDHR1	CFTR	0.017589862	Co-expression	Tripathi-Beauchamp-2014
NOX1	CFTR	0.020135745	Co-expression	Tripathi-Beauchamp-2014
NOX1	TINAG	0.01586739	Co-expression	Tripathi-Beauchamp-2014
NOX1	GRM8	0.013069855	Co-expression	Tripathi-Beauchamp-2014
NOX1	RAB32	0.014868435	Co-expression	Tripathi-Beauchamp-2014
NOX1	CDHR1	0.009121595	Co-expression	Tripathi-Beauchamp-2014
CD274	CIITA	0.013017819	Co-expression	Tripathi-Beauchamp-2014
EPDR1	TINAG	0.010018532	Co-expression	Tripathi-Beauchamp-2014
EPDR1	KHDRBS3	0.012263158	Co-expression	Tripathi-Beauchamp-2014
EPDR1	SPIN3	0.009886244	Co-expression	Tripathi-Beauchamp-2014
EPDR1	CXCL14	0.011052078	Co-expression	Tripathi-Beauchamp-2014
EPDR1	POFUT1	0.0076254928	Co-expression	Tripathi-Beauchamp-2014
EPDR1	SHROOM4	0.005382544	Co-expression	Tripathi-Beauchamp-2014
ASPHD2	FECH	0.011976277	Co-expression	Tripathi-Beauchamp-2014
HPSE	RNF125	0.017455822	Co-expression	Tripathi-Beauchamp-2014
HPSE	CD274	0.008030848	Co-expression	Tripathi-Beauchamp-2014
HPSE	ASPHD2	0.011848819	Co-expression	Tripathi-Beauchamp-2014
SEMA5A	CXCL14	0.0146347135	Co-expression	Tripathi-Beauchamp-2014
SEMA5A	SLC35D3	0.0128771225	Co-expression	Tripathi-Beauchamp-2014
SEMA5A	CDHR1	0.009547642	Co-expression	Tripathi-Beauchamp-2014
SEMA5A	EPDR1	0.008809895	Co-expression	Tripathi-Beauchamp-2014
NKD1	GRM8	0.009735838	Co-expression	Tripathi-Beauchamp-2014
NKD1	NAALADL2	0.011316056	Co-expression	Tripathi-Beauchamp-2014
NKD1	KHDRBS3	0.010960068	Co-expression	Tripathi-Beauchamp-2014
NKD1	SPIN3	0.01005368	Co-expression	Tripathi-Beauchamp-2014
NKD1	TCF7	0.01335203	Co-expression	Tripathi-Beauchamp-2014
NKD1	ZMYND8	0.012024742	Co-expression	Tripathi-Beauchamp-2014
NKD1	AXIN2	0.0063976566	Co-expression	Tripathi-Beauchamp-2014
ACOT8	NOL4L	0.014957835	Co-expression	Tripathi-Beauchamp-2014
ACOT8	FITM2	0.013193809	Co-expression	Tripathi-Beauchamp-2014
TNNC2	NOL4L	0.010365293	Co-expression	Tripathi-Beauchamp-2014
TNNC2	DHRS12	0.009204735	Co-expression	Tripathi-Beauchamp-2014
TNNC2	GGT7	0.008712416	Co-expression	Tripathi-Beauchamp-2014
TNNC2	GNG4	0.009302691	Co-expression	Tripathi-Beauchamp-2014
TNNC2	KHDRBS3	0.008251837	Co-expression	Tripathi-Beauchamp-2014
TNNC2	FITM2	0.0090468945	Co-expression	Tripathi-Beauchamp-2014
TNNC2	SPIN3	0.008409656	Co-expression	Tripathi-Beauchamp-2014
TNNC2	SLC35D3	0.0074592745	Co-expression	Tripathi-Beauchamp-2014
TNNC2	ZMYND8	0.009305951	Co-expression	Tripathi-Beauchamp-2014
TNNC2	ACOT8	0.0055377516	Co-expression	Tripathi-Beauchamp-2014
ASCL2	CFTR	0.009500251	Co-expression	Tripathi-Beauchamp-2014
ASCL2	GRM8	0.008084152	Co-expression	Tripathi-Beauchamp-2014
ASCL2	NAALADL2	0.008254523	Co-expression	Tripathi-Beauchamp-2014
ASCL2	SPIN3	0.007389916	Co-expression	Tripathi-Beauchamp-2014
ASCL2	TCF7	0.010945021	Co-expression	Tripathi-Beauchamp-2014
ASCL2	POFUT1	0.0061688013	Co-expression	Tripathi-Beauchamp-2014
ASCL2	SLC35D3	0.007546857	Co-expression	Tripathi-Beauchamp-2014
ASCL2	CDHR1	0.005846071	Co-expression	Tripathi-Beauchamp-2014
ASCL2	EPDR1	0.004205854	Co-expression	Tripathi-Beauchamp-2014
ASCL2	NKD1	0.0048369654	Co-expression	Tripathi-Beauchamp-2014
ASCL2	DDAH2	0.0069249505	Co-expression	Tripathi-Beauchamp-2014
CAB39L	NAALADL2	0.012566458	Co-expression	Tripathi-Beauchamp-2014
CAB39L	SHROOM4	0.006440154	Co-expression	Tripathi-Beauchamp-2014
CAB39L	EPDR1	0.006217114	Co-expression	Tripathi-Beauchamp-2014
CAB39L	NKD1	0.0069156797	Co-expression	Tripathi-Beauchamp-2014
CAB39L	ASCL2	0.0046741236	Co-expression	Tripathi-Beauchamp-2014
OXCT1	PIAS2	0.01107816	Co-expression	Tripathi-Beauchamp-2014
OXCT1	FECH	0.011951482	Co-expression	Tripathi-Beauchamp-2014
OXCT1	RNF125	0.010337298	Co-expression	Tripathi-Beauchamp-2014
