TSPAN6 avgexpression:10.996833
t3=0.206598  pval3=0.836630
ICA1 avgexpression:11.031330
t1=-2.202544  pval1=0.028314
t2=-0.775924  pval2=0.438310
t3=1.533748  pval3=0.127398
DBNDD1 avgexpression:10.361835
t1=-1.754325  pval1=0.080297
t2=-3.414405  pval2=0.000713
t3=-1.132678  pval3=0.259328
ALS2 avgexpression:10.802921
t1=-0.406964  pval1=0.684296
t2=0.667379  pval2=0.504963
t3=0.828744  pval3=0.408691
CASP10 avgexpression:11.255633
t1=1.054634  pval1=0.292360
t2=-3.257566  pval2=0.001232
t3=-3.069061  pval3=0.002589
CFLAR avgexpression:12.807883
t1=3.545227  pval1=0.000449
t2=2.014091  pval2=0.044754
t3=-1.591790  pval3=0.113737
TFPI avgexpression:11.203586
t1=0.264032  pval1=0.791919
t2=5.072846  pval2=0.000001
t3=3.594692  pval3=0.000452
NDUFAF7 avgexpression:9.498857
t1=-0.190665  pval1=0.848905
t2=1.050370  pval2=0.294262
t3=0.909528  pval3=0.364669
RBM5 avgexpression:11.557467
t1=2.626468  pval1=0.009027
t2=0.731137  pval2=0.465178
t3=-1.571729  pval3=0.118320
MTMR7 avgexpression:6.488071
t1=1.953812  pval1=0.051563
t2=-1.099273  pval2=0.272394
t3=-2.476109  pval3=0.014501
SLC7A2 avgexpression:9.484061
t1=0.061544  pval1=0.950963
t2=7.245636  pval2=0.000000
t3=5.099213  pval3=0.000001
ARF5 avgexpression:11.947715
t1=-2.305207  pval1=0.021771
t2=-1.934928  pval2=0.053793
t3=0.537294  pval3=0.591936
SARM1 avgexpression:8.788792
t1=0.610894  pval1=0.541687
t2=1.166216  pval2=0.244310
t3=0.274421  pval3=0.784174
POLDIP2 avgexpression:12.669664
t1=-2.746172  pval1=0.006358
t2=-0.752296  pval2=0.452371
t3=2.116552  pval3=0.036106
PLXND1 avgexpression:12.866990
t1=1.404590  pval1=0.161078
t2=3.115423  pval2=0.001986
t3=1.050839  pval3=0.295182
AK2 avgexpression:12.608249
t1=-2.603309  pval1=0.009647
t2=-4.596154  pval2=0.000006
t3=-1.174771  pval3=0.242124
CD38 avgexpression:9.219117
t1=3.015003  pval1=0.002768
t2=0.209204  pval2=0.834409
t3=-2.433748  pval3=0.016232
FKBP4 avgexpression:12.526577
t1=-3.768948  pval1=0.000194
t2=-6.405382  pval2=0.000000
t3=-1.365853  pval3=0.174223
KDM1A avgexpression:12.245514
t1=-3.897149  pval1=0.000118
t2=-4.758699  pval2=0.000003
t3=-0.015766  pval3=0.987444
RBM6 avgexpression:11.553181
t1=2.499427  pval1=0.012922
t2=3.204686  pval2=0.001475
t3=0.163444  pval3=0.870410
CAMKK1 avgexpression:8.836896
t1=-1.744439  pval1=0.082008
t2=-1.122981  pval2=0.262204
t3=0.689647  pval3=0.491583
RECQL avgexpression:9.958476
t1=0.445879  pval1=0.655975
t2=1.183593  pval2=0.237366
t3=0.498229  pval3=0.619121
VPS50 avgexpression:10.602039
t1=-0.969620  pval1=0.332942
t2=0.215605  pval2=0.829420
t3=1.194169  pval3=0.234475
HSPB6 avgexpression:9.658970
t1=3.125963  pval1=0.001929
t2=4.502496  pval2=0.000009
t3=0.672933  pval3=0.502123
ARHGAP33 avgexpression:8.953840
t1=1.584987  pval1=0.113921
t2=1.162992  pval2=0.245614
t3=-0.518443  pval3=0.604986
NDUFAB1 avgexpression:11.845744
t1=-1.037705  pval1=0.300163
t2=-4.957271  pval2=0.000001
t3=-2.604502  pval3=0.010216
PDK4 avgexpression:11.188571
t1=1.923214  pval1=0.055308
t2=5.063497  pval2=0.000001
t3=1.973325  pval3=0.050471
SLC22A16 avgexpression:2.734067
t1=0.609545  pval1=0.542580
t2=2.245180  pval2=0.025372
t3=1.177796  pval3=0.240920
ZMYND10 avgexpression:4.731103
t1=1.336554  pval1=0.182284
t2=1.790957  pval2=0.074152
t3=0.192644  pval3=0.847523
ABCB5 avgexpression:3.378166
t1=1.026157  pval1=0.305565
t2=1.720189  pval2=0.086270
t3=0.363258  pval3=0.716972
ARX avgexpression:4.669703
t1=-0.361887  pval1=0.717667
t2=-0.389106  pval2=0.697431
t3=0.024024  pval3=0.980869
SLC25A13 avgexpression:11.154084
t1=-3.095952  pval1=0.002129
t2=4.440593  pval2=0.000012
t3=6.633593  pval3=0.000000
ST7 avgexpression:10.676796
t1=-0.686988  pval1=0.492570
t2=-1.526736  pval2=0.127717
t3=-0.565333  pval3=0.572772
CDC27 avgexpression:11.841767
t1=-0.894772  pval1=0.371557
t2=-2.772904  pval2=0.005849
t3=-1.185664  pval3=0.237808
SLC4A1 avgexpression:3.166590
t1=0.116884  pval1=0.907023
t2=1.951848  pval2=0.051742
t3=1.248089  pval3=0.214127
CALCR avgexpression:3.340279
t1=-1.194013  pval1=0.233325
t2=5.079773  pval2=0.000001
t3=5.094353  pval3=0.000001
HCCS avgexpression:10.850763
t1=0.025927  pval1=0.979331
t2=-2.748058  pval2=0.006301
t3=-2.033006  pval3=0.043983
DVL2 avgexpression:10.819583
t1=0.583325  pval1=0.560070
t2=0.844578  pval2=0.398915
t3=0.105334  pval3=0.916265
PRSS22 avgexpression:10.345599
t1=-0.380420  pval1=0.703877
t2=1.550067  pval2=0.122017
t3=1.429781  pval3=0.155056
UPF1 avgexpression:13.115481
t1=-1.507704  pval1=0.132581
t2=1.388599  pval2=0.165825
t3=2.240677  pval3=0.026657
SKAP2 avgexpression:11.669866
t1=0.975410  pval1=0.330067
t2=2.433956  pval2=0.015427
t3=0.771022  pval3=0.442021
SLC25A5 avgexpression:14.134936
t1=-2.665256  pval1=0.008069
t2=-4.242020  pval2=0.000028
t3=-0.767404  pval3=0.444162
MCUB avgexpression:9.804224
t1=0.604251  pval1=0.546090
t2=-7.205145  pval2=0.000000
t3=-5.898058  pval3=0.000000
HOXA11 avgexpression:6.391700
t1=-1.577683  pval1=0.115591
t2=-4.939211  pval2=0.000001
t3=-2.132359  pval3=0.034761
POLR2J avgexpression:11.354537
t1=-3.028685  pval1=0.002649
t2=1.546006  pval2=0.122994
t3=3.759028  pval3=0.000252
DHX33 avgexpression:10.725966
t1=-2.761316  pval1=0.006077
t2=-1.761927  pval2=0.078942
t3=1.137646  pval3=0.257254
MEOX1 avgexpression:7.190180
t1=2.484255  pval1=0.013475
t2=2.391128  pval2=0.017317
t3=-0.364929  pval3=0.715727
THSD7A avgexpression:8.075557
t1=2.925547  pval1=0.003675
t2=5.066655  pval2=0.000001
t3=1.051445  pval3=0.294905
LIG3 avgexpression:10.915123
t1=-2.214176  pval1=0.027496
t2=3.640574  pval2=0.000312
t3=4.761980  pval3=0.000005
RPAP3 avgexpression:10.923736
t1=-2.553236  pval1=0.011119
t2=-1.420740  pval2=0.156270
t3=1.262173  pval3=0.209031
ACSM3 avgexpression:9.110080
t1=-0.762396  pval1=0.446365
t2=-3.878293  pval2=0.000125
t3=-2.159099  pval3=0.032584
REXO5 avgexpression:8.361434
t1=-1.329943  pval1=0.184450
t2=-4.638646  pval2=0.000005
t3=-2.118799  pval3=0.035912
CIAPIN1 avgexpression:11.178617
t1=-2.287649  pval1=0.022786
t2=-3.480396  pval2=0.000563
t3=-0.635828  pval3=0.525949
SPPL2B avgexpression:11.651952
t1=0.260940  pval1=0.794300
t2=2.039399  pval2=0.042150
t3=1.278428  pval3=0.203260
FAM214B avgexpression:10.446943
t1=-0.162445  pval1=0.871054
t2=0.382700  pval2=0.702171
t3=0.453473  pval3=0.650926
COPZ2 avgexpression:8.428172
t1=1.897049  pval1=0.058689
t2=1.820084  pval2=0.069588
t3=-0.296291  pval3=0.767456
PRKAR2B avgexpression:9.207718
t1=3.740710  pval1=0.000216
t2=4.583018  pval2=0.000006
t3=0.212658  pval3=0.831910
MSL3 avgexpression:10.975515
t1=2.803752  pval1=0.005348
t2=-1.011519  pval2=0.312457
t3=-3.035282  pval3=0.002877
CREBBP avgexpression:13.332898
t1=-0.819637  pval1=0.413011
t2=2.755910  pval2=0.006155
t3=3.071111  pval3=0.002573
TSPOAP1 avgexpression:8.635842
t1=4.238141  pval1=0.000029
t2=0.701137  pval2=0.483677
t3=-2.993897  pval3=0.003269
MPO avgexpression:3.453634
t1=0.958670  pval1=0.338423
t2=1.714343  pval2=0.087339
t3=0.450406  pval3=0.653130
PON1 avgexpression:3.558355
t1=0.944961  pval1=0.345366
t2=5.808273  pval2=0.000000
t3=3.540296  pval3=0.000547
GCFC2 avgexpression:10.023243
t1=-0.318536  pval1=0.750279
t2=-1.867369  pval2=0.062674
t3=-1.160593  pval3=0.247826
WDR54 avgexpression:9.013203
t1=-0.649362  pval1=0.516553
t2=3.149335  pval2=0.001775
t3=2.439890  pval3=0.015970
CROT avgexpression:9.394330
t1=0.440414  pval1=0.659924
t2=7.114071  pval2=0.000000
t3=4.515842  pval3=0.000013
ABCB4 avgexpression:6.191601
t1=3.488061  pval1=0.000552
t2=6.991777  pval2=0.000000
t3=2.406756  pval3=0.017428
KMT2E avgexpression:12.851624
t1=-0.261224  pval1=0.794082
t2=2.202500  pval2=0.028272
t3=1.992417  pval3=0.048313
RHBDD2 avgexpression:12.713996
t1=-2.108359  pval1=0.035749
t2=3.563580  pval2=0.000416
t3=4.508978  pval3=0.000014
SOX8 avgexpression:6.832104
t1=2.766686  pval1=0.005980
t2=1.488265  pval2=0.137569
t3=-1.219252  pval3=0.224843
IBTK avgexpression:12.276763
t1=0.461914  pval1=0.644446
t2=-5.594247  pval2=0.000000
t3=-4.360729  pval3=0.000025
ZNF195 avgexpression:10.860429
t1=-1.324400  pval1=0.186281
t2=-0.433188  pval2=0.665142
t3=0.879937  pval3=0.380435
MYCBP2 avgexpression:12.099113
t1=2.234752  pval1=0.026099
t2=-0.046108  pval2=0.963250
t3=-1.934501  pval3=0.055113
FBXL3 avgexpression:11.424430
t1=2.629315  pval1=0.008954
t2=-1.629845  pval2=0.104021
t3=-3.496072  pval3=0.000637
ITGAL avgexpression:10.213265
t1=4.104761  pval1=0.000051
t2=0.089381  pval2=0.928829
t3=-3.879166  pval3=0.000162
PDK2 avgexpression:10.807269
t1=-0.409438  pval1=0.682482
t2=-0.819084  pval2=0.413288
t3=-0.190983  pval3=0.848822
ITGA3 avgexpression:13.640014
t1=-1.741910  pval1=0.082450
t2=-0.605080  pval2=0.545512
t3=1.021904  pval3=0.308627
ZFX avgexpression:11.294963
t1=1.422118  pval1=0.155931
t2=-1.365454  pval2=0.172975
t3=-1.977408  pval3=0.050003
LAMP2 avgexpression:13.349369
t1=0.461734  pval1=0.644575
t2=2.475071  pval2=0.013787
t3=1.427150  pval3=0.155812
ITGA2B avgexpression:4.560861
t1=0.017882  pval1=0.985744
t2=2.899186  pval2=0.003974
t3=2.188287  pval3=0.030344
ASB4 avgexpression:3.949925
t1=0.680579  pval1=0.496612
t2=4.585121  pval2=0.000006
t3=2.990488  pval3=0.003303
GDE1 avgexpression:12.296718
t1=-1.834795  pval1=0.067431
t2=-3.515745  pval2=0.000495
t3=-1.012664  pval3=0.313006
REX1BD avgexpression:10.413132
t1=0.695524  pval1=0.487213
t2=-1.652877  pval2=0.099240
t3=-1.657606  pval3=0.099685
CRLF1 avgexpression:6.167749
t1=1.013595  pval1=0.311514
t2=2.671493  pval2=0.007899
t3=1.104934  pval3=0.271125
OSBPL7 avgexpression:10.838844
t1=0.033316  pval1=0.973443
t2=1.652789  pval2=0.099258
t3=1.090714  pval3=0.277314
TMEM98 avgexpression:11.712924
t1=0.533464  pval1=0.594069
t2=3.105704  pval2=0.002051
t3=1.625508  pval3=0.106353
YBX2 avgexpression:8.616422
t1=-0.313428  pval1=0.754152
t2=-2.441139  pval2=0.015129
t3=-1.650954  pval3=0.101038
KRT33A avgexpression:0.774121
t1=-0.029324  pval1=0.976624
t2=1.857602  pval2=0.064053
t3=1.559087  pval3=0.121283
MAP3K14 avgexpression:10.344387
t1=1.881165  pval1=0.060824
t2=4.499515  pval2=0.000009
t3=1.889520  pval3=0.060935
ABCC8 avgexpression:4.656095
t1=1.099191  pval1=0.272481
t2=4.592617  pval2=0.000006
t3=2.289280  pval3=0.023592
CACNG3 avgexpression:0.866660
t1=-0.238291  pval1=0.811802
t2=1.897092  pval2=0.058627
t3=1.301887  pval3=0.195140
TMEM132A avgexpression:11.039167
t1=-0.455460  pval1=0.649076
t2=0.913217  pval2=0.361748
t3=1.098518  pval3=0.273905
AP2B1 avgexpression:14.289274
t1=-0.566555  pval1=0.571399
t2=-5.634899  pval2=0.000000
t3=-3.174281  pval3=0.001855
TAC1 avgexpression:3.052103
t1=1.678403  pval1=0.094209
t2=2.670169  pval2=0.007930
t3=0.633414  pval3=0.527519
ZNF263 avgexpression:10.600095
t1=-1.802689  pval1=0.072344
t2=-0.469199  pval2=0.639215
t3=1.490324  pval3=0.138438
CX3CL1 avgexpression:10.570679
t1=2.631547  pval1=0.008896
t2=4.442985  pval2=0.000012
t3=1.054400  pval3=0.293556
SPATA20 avgexpression:11.616864
t1=-0.892462  pval1=0.372792
t2=1.460084  pval2=0.145151
t3=1.758941  pval3=0.080820
CACNA1G avgexpression:4.422779
t1=0.914868  pval1=0.360925
t2=4.183855  pval2=0.000036
t3=2.108455  pval3=0.036812
TNFRSF12A avgexpression:11.699256
t1=-2.424965  pval1=0.015843
t2=0.167974  pval2=0.866700
t3=2.143015  pval3=0.033879
DLX6 avgexpression:4.394639
t1=-0.055365  pval1=0.955881
t2=1.078463  pval2=0.281559
t3=0.789223  pval3=0.431345
MAP3K9 avgexpression:10.100612
t1=-2.872840  pval1=0.004330
t2=1.796563  pval2=0.073255
t3=3.800035  pval3=0.000217
RALA avgexpression:12.025482
t1=-2.478496  pval1=0.013690
t2=-2.422743  pval2=0.015904
t3=0.466832  pval3=0.641362
BAIAP2L1 avgexpression:12.355778
t1=-2.329719  pval1=0.020420
t2=-1.942561  pval2=0.052860
t3=0.831738  pval3=0.407004
KDM7A avgexpression:11.364192
t1=-0.203125  pval1=0.839162
t2=-3.709641  pval2=0.000241
t3=-2.577867  pval3=0.010998
ETV1 avgexpression:9.277116
t1=-0.135321  pval1=0.892440
t2=0.391574  pval2=0.695608
t3=0.393487  pval3=0.694572
AGK avgexpression:10.543760
t1=0.169369  pval1=0.865610
t2=-0.095060  pval2=0.924321
t3=-0.185959  pval3=0.852752
ALDH3B1 avgexpression:11.314198
t1=-0.370206  pval1=0.711465
t2=2.185873  pval2=0.029478
t3=1.989715  pval3=0.048613
TTC22 avgexpression:10.965132
t1=-0.860794  pval1=0.389973
t2=-4.782228  pval2=0.000003
t3=-3.390424  pval3=0.000912
PHTF2 avgexpression:10.420657
t1=-0.286822  pval1=0.774428
t2=-0.037097  pval2=0.970428
t3=0.220555  pval3=0.825767
CCL26 avgexpression:5.282382
t1=0.365992  pval1=0.714604
t2=1.190299  pval2=0.234724
t3=0.618418  pval3=0.537327
FARP2 avgexpression:12.083505
t1=-0.185750  pval1=0.852755
t2=-1.034892  pval2=0.301424
t3=-0.607670  pval3=0.544413
USH1C avgexpression:11.720544
t1=-0.633651  pval1=0.526745
t2=-0.708729  pval2=0.478958
t3=0.052392  pval3=0.958293
GGCT avgexpression:10.348657
t1=-1.458955  pval1=0.145523
t2=-0.433400  pval2=0.664987
t3=0.997599  pval3=0.320233
DBF4 avgexpression:10.374368
t1=-2.689310  pval1=0.007522
t2=-2.924654  pval2=0.003670
t3=0.255702  pval3=0.798564
TBXA2R avgexpression:7.740984
t1=1.840397  pval1=0.066602
t2=5.606073  pval2=0.000000
t3=2.531306  pval3=0.012493
IFRD1 avgexpression:8.985084
t1=-0.228324  pval1=0.819535
t2=-0.235586  pval2=0.813889
t3=0.024818  pval3=0.980236
LGALS14 avgexpression:0.822756
t1=0.568782  pval1=0.569889
t2=1.685741  pval2=0.092724
t3=0.967508  pval3=0.334995
COX10 avgexpression:10.296311
t1=-0.647489  pval1=0.517763
t2=-7.551007  pval2=0.000000
t3=-4.624557  pval3=0.000009
GTF2IRD1 avgexpression:11.374306
t1=-3.644088  pval1=0.000311
t2=1.418075  pval2=0.157046
t3=4.160475  pval3=0.000056
PAF1 avgexpression:11.484066
t1=0.802733  pval1=0.422703
t2=2.804059  pval2=0.005324
t3=1.554766  pval3=0.122309
VPS41 avgexpression:11.791697
t1=0.459494  pval1=0.646180
t2=4.988424  pval2=0.000001
t3=2.905697  pval3=0.004274
ARHGAP44 avgexpression:9.661445
t1=1.606922  pval1=0.109022
t2=-1.238338  pval2=0.216409
t3=-2.181934  pval3=0.030820
ELAC2 avgexpression:12.022386
t1=-1.578453  pval1=0.115414
t2=-7.843388  pval2=0.000000
t3=-4.254214  pval3=0.000039
SCIN avgexpression:8.882920
t1=-0.628625  pval1=0.530027
t2=0.985162  pval2=0.325215
t3=1.309253  pval3=0.192640
ARSD avgexpression:11.541652
t1=0.884079  pval1=0.377293
t2=0.612347  pval2=0.540700
t3=-0.325879  pval3=0.745013
PNPLA4 avgexpression:9.505850
t1=0.061357  pval1=0.951112
t2=-4.258151  pval2=0.000026
t3=-2.801591  pval3=0.005822
MYH13 avgexpression:3.502066
t1=0.125264  pval1=0.900390
t2=0.641780  pval2=0.521430
t3=0.376863  pval3=0.706859
ADIPOR2 avgexpression:12.191846
t1=-1.939520  pval1=0.053285
t2=-1.470261  pval2=0.142377
t3=0.704588  pval3=0.482263
CDKL3 avgexpression:4.721200
t1=0.996740  pval1=0.319617
t2=4.021944  pval2=0.000071
t3=1.906985  pval3=0.058616
UPP2 avgexpression:2.712252
t1=-1.131648  pval1=0.258599
t2=3.911369  pval2=0.000110
t3=3.692440  pval3=0.000320
PRSS21 avgexpression:6.846740
t1=-0.588288  pval1=0.556739
t2=-2.071725  pval2=0.039013
t3=-0.973696  pval3=0.331923
MARK4 avgexpression:11.180238
t1=0.372862  pval1=0.709489
t2=2.588295  pval2=0.010042
t3=1.504108  pval3=0.134855
PROM1 avgexpression:11.371073
t1=2.320395  pval1=0.020925
t2=2.667759  pval2=0.007986
t3=0.128822  pval3=0.897687
CCDC124 avgexpression:11.368019
t1=-1.702871  pval1=0.089528
t2=-1.921774  pval2=0.055434
t3=0.074373  pval3=0.940822
CEACAM21 avgexpression:5.959345
t1=3.265915  pval1=0.001205
t2=1.062204  pval2=0.288865
t3=-2.001612  pval3=0.047301
PAFAH1B1 avgexpression:12.588748
t1=0.844712  pval1=0.398880
t2=-1.207202  pval2=0.228158
t3=-1.760298  pval3=0.080589
NOS2 avgexpression:8.490041
t1=-1.143328  pval1=0.253726
t2=-3.195053  pval2=0.001523
t3=-1.264641  pval3=0.208147
DNAH9 avgexpression:4.439712
t1=0.360142  pval1=0.718970
t2=1.777034  pval2=0.076419
t3=1.147344  pval3=0.253239
KIAA0100 avgexpression:13.039060
t1=-1.506198  pval1=0.132967
t2=-0.315690  pval2=0.752423
t3=1.135407  pval3=0.258187
SLC13A2 avgexpression:5.833677
t1=1.149992  pval1=0.250975
t2=4.153019  pval2=0.000041
t3=2.171571  pval3=0.031610
GAS7 avgexpression:10.854245
t1=2.618916  pval1=0.009226
t2=4.160578  pval2=0.000040
t3=0.706434  pval3=0.481118
TRAPPC6A avgexpression:9.521217
t1=-1.149330  pval1=0.251247
t2=3.769426  pval2=0.000192
t3=3.618508  pval3=0.000416
MATK avgexpression:6.886649
t1=2.825186  pval1=0.005011
t2=0.566310  pval2=0.571541
t3=-2.153352  pval3=0.033042
CEACAM7 avgexpression:8.459490
t1=-0.203139  pval1=0.839151
t2=-0.756718  pval2=0.449721
t3=-0.388065  pval3=0.698570
CD79B avgexpression:6.373849
t1=3.816833  pval1=0.000161
t2=2.286297  pval2=0.022825
t3=-1.662719  pval3=0.098655
SCN4A avgexpression:4.076628
t1=0.921701  pval1=0.357354
t2=5.848540  pval2=0.000000
t3=3.299419  pval3=0.001235
ST7L avgexpression:9.425126
t1=0.782360  pval1=0.434561
t2=-1.929702  pval2=0.054440
t3=-1.919257  pval3=0.057031
TKTL1 avgexpression:3.995217
t1=0.308768  pval1=0.757692
t2=0.671829  pval2=0.502130
t3=0.203447  pval3=0.839088
PAX6 avgexpression:4.961017
t1=-0.455629  pval1=0.648954
t2=-2.595806  pval2=0.009829
t3=-1.415904  pval3=0.159073
RPUSD1 avgexpression:10.647730
t1=-2.367288  pval1=0.018492
t2=-2.937275  pval2=0.003527
t3=-0.145975  pval3=0.884156
RHBDF1 avgexpression:11.120643
t1=0.148777  pval1=0.881820
t2=-0.694564  pval2=0.487783
t3=-0.576404  pval3=0.565288
LUC7L avgexpression:10.467064
t1=2.035002  pval1=0.042645
t2=1.506959  pval2=0.132711
t3=-0.743751  pval3=0.458301
CACNA2D2 avgexpression:7.193317
t1=1.906181  pval1=0.057490
t2=5.239970  pval2=0.000000
t3=2.060579  pval3=0.041235
BAIAP3 avgexpression:7.521548
t1=0.841572  pval1=0.400633
t2=0.089323  pval2=0.928876
t3=-0.789718  pval3=0.431057
TSR3 avgexpression:10.514313
t1=-1.178220  pval1=0.239553
t2=-0.743008  pval2=0.457968
t3=0.465266  pval3=0.642480
PIGQ avgexpression:10.712031
t1=-1.162252  pval1=0.245968
t2=0.637889  pval2=0.523957
t3=1.614461  pval3=0.108728
CRAMP1 avgexpression:9.662690
t1=0.073337  pval1=0.941582
t2=1.336128  pval2=0.182363
t3=0.940086  pval3=0.348828
TEAD3 avgexpression:11.712005
t1=0.037755  pval1=0.969906
t2=2.956593  pval2=0.003319
t3=2.442291  pval3=0.015868
SELE avgexpression:8.065372
t1=1.061522  pval1=0.289224
t2=0.561034  pval2=0.575129
t3=-0.497601  pval3=0.619563
DNAJC11 avgexpression:10.898437
t1=-2.124739  pval1=0.034347
t2=-5.250131  pval2=0.000000
t3=-2.220396  pval3=0.028035
FMO3 avgexpression:7.925733
t1=4.406666  pval1=0.000014
t2=5.464555  pval2=0.000000
t3=0.383241  pval3=0.702135
MYLIP avgexpression:10.918102
t1=3.141253  pval1=0.001834
t2=6.859537  pval2=0.000000
t3=2.270631  pval3=0.024729
NOX1 avgexpression:7.145374
t1=0.152565  pval1=0.878834
t2=1.224740  pval2=0.221485
t3=0.753201  pval3=0.452622
E2F2 avgexpression:9.526172
t1=-0.297889  pval1=0.765974
t2=-5.282184  pval2=0.000000
t3=-3.528922  pval3=0.000569
PSMB1 avgexpression:12.896935
t1=-0.742598  pval1=0.458250
t2=-3.811761  pval2=0.000163
t3=-2.113108  pval3=0.036405
SYN1 avgexpression:7.072271
t1=1.423497  pval1=0.155531
t2=6.902385  pval2=0.000000
t3=3.706045  pval3=0.000305
JARID2 avgexpression:10.905557
t1=-1.035510  pval1=0.301185
t2=6.683051  pval2=0.000000
t3=4.788492  pval3=0.000004
CDKL5 avgexpression:10.151954
t1=2.681975  pval1=0.007685
t2=2.677592  pval2=0.007760
t3=-0.319981  pval3=0.749470
CAMK1G avgexpression:5.193133
t1=1.081271  pval1=0.280361
t2=0.955804  pval2=0.339822
t3=-0.255849  pval3=0.798451
CDK11A avgexpression:5.830098
t1=-0.390719  pval1=0.696256
t2=0.403628  pval2=0.686729
t3=0.734098  pval3=0.464144
NADK avgexpression:12.140884
