TSPAN6 avgexpression:6.531377
NDUFAB1 avgexpression:7.206093
t2=1.165986  pval2=0.244363
t3=0.612828  pval3=0.540834
PDK4 avgexpression:3.606100
t2=3.035014  pval2=0.002574
t3=2.005308  pval3=0.046565
SLC22A16 avgexpression:0.110773
t2=-0.638365  pval2=0.523627
t3=-0.327999  pval3=0.743328
ZMYND10 avgexpression:0.548797
t2=-5.481089  pval2=0.000000
t3=-3.900452  pval3=0.000140
ABCB5 avgexpression:0.099492
t2=0.467426  pval2=0.640468
t3=0.114575  pval3=0.908921
ARX avgexpression:0.495164
t2=-6.856581  pval2=0.000000
t3=-3.590184  pval3=0.000435
SLC25A13 avgexpression:5.210607
t2=7.284620  pval2=0.000000
t3=4.969746  pval3=0.000002
ST7 avgexpression:3.548220
t2=-0.494898  pval2=0.620962
t3=-0.431023  pval3=0.667014
CDC27 avgexpression:4.596603
t2=-3.458349  pval2=0.000606
t3=-3.349784  pval3=0.001002
SLC4A1 avgexpression:0.052035
t2=-0.435007  pval2=0.663808
t3=-0.682166  pval3=0.496091
CALCR avgexpression:0.168090
t2=1.403161  pval2=0.161398
t3=0.960449  pval3=0.338235
HCCS avgexpression:5.711174
t2=3.132782  pval2=0.001868
t3=0.690284  pval3=0.490986
DVL2 avgexpression:4.251120
t2=-0.726145  pval2=0.468204
t3=-1.072109  pval3=0.285237
PRSS22 avgexpression:4.565260
t2=-0.445049  pval2=0.656542
t3=0.712141  pval3=0.477383
UPF1 avgexpression:5.916443
t2=2.309322  pval2=0.021470
t3=1.355150  pval3=0.177222
SKAP2 avgexpression:4.826092
t2=3.343804  pval2=0.000910
t3=1.167659  pval3=0.244629
SLC25A5 avgexpression:10.238257
t2=2.436674  pval2=0.015289
t3=1.129178  pval3=0.260462
MCUB avgexpression:3.784436
t2=-10.155440  pval2=0.000000
t3=-8.580846  pval3=0.000000
HOXA11 avgexpression:4.060190
t2=3.099063  pval2=0.002088
t3=1.054082  pval3=0.293386
POLR2J avgexpression:6.487802
t2=6.848800  pval2=0.000000
t3=4.771892  pval3=0.000004
DHX33 avgexpression:4.105555
t2=-1.389411  pval2=0.165534
t3=-1.493834  pval3=0.137129
MEOX1 avgexpression:1.566786
t2=-0.296876  pval2=0.766726
t3=-1.042552  pval3=0.298681
THSD7A avgexpression:0.610156
t2=-1.158322  pval2=0.247472
t3=-1.502202  pval3=0.134956
LIG3 avgexpression:3.273905
t2=3.961876  pval2=0.000089
t3=2.257958  pval3=0.025259
RPAP3 avgexpression:4.223781
t2=0.647124  pval2=0.517948
t3=-0.363259  pval3=0.716876
ACSM3 avgexpression:2.678102
t2=2.375356  pval2=0.018035
t3=2.668859  pval3=0.008371
REXO5 avgexpression:2.387129
t2=-2.967272  pval2=0.003198
t3=-2.605086  pval3=0.010024
CIAPIN1 avgexpression:5.817903
t2=1.099423  pval2=0.272291
t3=0.653434  pval3=0.514386
SPPL2B avgexpression:4.814033
t2=5.262308  pval2=0.000000
t3=4.635981  pval3=0.000007
FAM214B avgexpression:3.563165
t2=0.501489  pval2=0.616322
t3=0.243205  pval3=0.808149
COPZ2 avgexpression:3.154370
t2=-1.088053  pval2=0.277272
t3=-1.628764  pval3=0.105271
PRKAR2B avgexpression:2.417569
t2=-5.808282  pval2=0.000000
t3=-5.060955  pval3=0.000001
MSL3 avgexpression:3.494542
t2=0.029612  pval2=0.976392
t3=-0.774053  pval3=0.440007
CREBBP avgexpression:4.348828
t2=1.123032  pval2=0.262144
t3=-0.259784  pval3=0.795354
TSPOAP1 avgexpression:2.091245
t2=-0.536244  pval2=0.592109
t3=0.962934  pval3=0.336990
MPO avgexpression:0.362482
t2=1.309298  pval2=0.191237
t3=0.736493  pval3=0.462476
PON1 avgexpression:0.322939
t2=-0.873187  pval2=0.383122
t3=-1.524002  pval3=0.129422
GCFC2 avgexpression:3.041736
t2=-1.299610  pval2=0.194535
t3=-1.063496  pval3=0.289111
WDR54 avgexpression:3.619378
t2=-4.562182  pval2=0.000007
t3=-2.943277  pval3=0.003716
CROT avgexpression:3.276302
t2=6.839258  pval2=0.000000
t3=4.174444  pval3=0.000048
ABCB4 avgexpression:0.674610
t2=4.342945  pval2=0.000018
t3=3.487765  pval3=0.000624
KMT2E avgexpression:4.708507
t2=3.649650  pval2=0.000300
t3=1.777398  pval3=0.077345
RHBDD2 avgexpression:6.673708
t2=2.506866  pval2=0.012604
t3=1.739131  pval3=0.083877
SOX8 avgexpression:1.226886
t2=-6.776330  pval2=0.000000
t3=-5.261718  pval3=0.000000
IBTK avgexpression:4.633259
t2=-4.959176  pval2=0.000001
t3=-3.657680  pval3=0.000342
ZNF195 avgexpression:3.205965
t2=1.707034  pval2=0.088646
t3=1.272429  pval3=0.205011
MYCBP2 avgexpression:3.389826
t2=-0.493017  pval2=0.622290
t3=-1.791243  pval3=0.075087
FBXL3 avgexpression:4.156748
t2=1.977207  pval2=0.048752
t3=0.092959  pval3=0.926049
ITGAL avgexpression:2.053589
t2=-6.229235  pval2=0.000000
t3=-4.387828  pval3=0.000020
PDK2 avgexpression:3.860732
t2=4.077377  pval2=0.000056
t3=1.015042  pval3=0.311572
ITGA3 avgexpression:5.442301
t2=-2.200268  pval2=0.028399
t3=-2.689985  pval3=0.007880
ZFX avgexpression:3.390505
t2=-2.626685  pval2=0.008977
t3=-3.049475  pval3=0.002671
LAMP2 avgexpression:5.782632
t2=5.654096  pval2=0.000000
t3=2.630993  pval3=0.009320
ITGA2B avgexpression:0.275216
t2=-1.253208  pval2=0.210913
t3=-1.405238  pval3=0.161831
ASB4 avgexpression:0.356747
t2=1.357796  pval2=0.175347
t3=0.659514  pval3=0.510485
GDE1 avgexpression:6.170394
t2=1.825735  pval2=0.068687
t3=0.360638  pval3=0.718831
REX1BD avgexpression:5.038615
t2=1.939914  pval2=0.053142
t3=2.022479  pval3=0.044742
CRLF1 avgexpression:0.842779
t2=-0.216920  pval2=0.828389
t3=0.106412  pval3=0.915385
OSBPL7 avgexpression:3.850111
t2=2.290191  pval2=0.022566
t3=2.388156  pval3=0.018063
TMEM98 avgexpression:5.593776
t2=6.817168  pval2=0.000000
t3=3.129732  pval3=0.002070
YBX2 avgexpression:3.553380
t2=1.435423  pval2=0.152002
t3=0.838848  pval3=0.402768
KRT33A avgexpression:0.014148
t2=0.652046  pval2=0.514772
t3=0.748955  pval3=0.454951
MAP3K14 avgexpression:3.240928
t2=-0.339400  pval2=0.734499
t3=-0.849777  pval3=0.396681
ABCC8 avgexpression:0.142635
t2=-1.690862  pval2=0.091696
t3=-2.826160  pval3=0.005293
CACNG3 avgexpression:0.018895
t2=0.653241  pval2=0.514003
t3=1.183168  pval3=0.238445
TMEM132A avgexpression:3.943280
t2=-1.701317  pval2=0.089715
t3=-1.042039  pval3=0.298918
AP2B1 avgexpression:7.005973
t2=-2.914312  pval2=0.003779
t3=-1.971832  pval3=0.050301
TAC1 avgexpression:1.503067
t2=5.401706  pval2=0.000000
t3=3.703374  pval3=0.000290
ZNF263 avgexpression:4.221800
t2=3.341684  pval2=0.000917
t3=2.528578  pval3=0.012391
CX3CL1 avgexpression:3.569862
t2=-3.467692  pval2=0.000586
t3=-2.788669  pval3=0.005915
SPATA20 avgexpression:5.069274
t2=2.762842  pval2=0.006013
t3=1.955260  pval3=0.052242
CACNA1G avgexpression:0.116305
t2=1.717235  pval2=0.086764
t3=0.881771  pval3=0.379183
TNFRSF12A avgexpression:6.436349
t2=1.907033  pval2=0.057282
t3=1.241888  pval3=0.216040
DLX6 avgexpression:0.615570
t2=2.770645  pval2=0.005874
t3=3.814964  pval3=0.000192
MAP3K9 avgexpression:2.183046
t2=-2.876723  pval2=0.004249
t3=-2.653291  pval3=0.008750
RALA avgexpression:6.439604
t2=2.680090  pval2=0.007686
t3=1.401132  pval3=0.163053
BAIAP2L1 avgexpression:5.931355
t2=4.506870  pval2=0.000009
t3=3.285103  pval3=0.001245
KDM7A avgexpression:4.545557
t2=3.668827  pval2=0.000279
t3=2.228549  pval3=0.027195
ETV1 avgexpression:1.829395
t2=-5.167753  pval2=0.000000
t3=-4.471971  pval3=0.000014
AGK avgexpression:3.204371
t2=7.296433  pval2=0.000000
t3=4.229130  pval3=0.000039
ALDH3B1 avgexpression:4.078670
t2=1.001961  pval2=0.317010
t3=0.281109  pval3=0.778979
TTC22 avgexpression:4.022503
t2=1.630884  pval2=0.103757
t3=0.341950  pval3=0.732824
PHTF2 avgexpression:2.954736
t2=-1.030758  pval2=0.303320
t3=-1.733652  pval3=0.084848
CCL26 avgexpression:1.755763
t2=-5.550316  pval2=0.000000
t3=-4.078893  pval3=0.000070
FARP2 avgexpression:4.016336
t2=-0.530544  pval2=0.596049
t3=-0.226172  pval3=0.821348
USH1C avgexpression:6.571620
t2=5.657224  pval2=0.000000
t3=3.268429  pval3=0.001316
GGCT avgexpression:6.111406
t2=5.885542  pval2=0.000000
t3=4.814478  pval3=0.000003
DBF4 avgexpression:3.967404
t2=0.041046  pval2=0.967281
t3=-0.955471  pval3=0.340737
TBXA2R avgexpression:1.542895
t2=-0.195369  pval2=0.845210
t3=-0.549008  pval3=0.583742
IFRD1 avgexpression:2.343835
t2=3.705431  pval2=0.000243
t3=2.731756  pval3=0.006986
LGALS14 avgexpression:0.159490
t2=3.293582  pval2=0.001084
t3=2.806182  pval3=0.005617
COX10 avgexpression:3.587695
t2=-3.797303  pval2=0.000171
t3=-4.447125  pval3=0.000016
GTF2IRD1 avgexpression:5.040038
t2=10.068886  pval2=0.000000
t3=7.385913  pval3=0.000000
PAF1 avgexpression:5.896456
t2=-1.254489  pval2=0.210448
t3=-0.456614  pval3=0.648549
VPS41 avgexpression:4.582568
t2=5.861880  pval2=0.000000
t3=3.612590  pval3=0.000402
ARHGAP44 avgexpression:2.481931
t2=0.917616  pval2=0.359411
t3=-0.620779  pval3=0.535601
ELAC2 avgexpression:5.113451
t2=-4.999957  pval2=0.000001
t3=-3.897097  pval3=0.000141
SCIN avgexpression:2.089552
t2=-1.755466  pval2=0.079998
t3=-2.050966  pval3=0.041852
ARSD avgexpression:5.076759
t2=4.293728  pval2=0.000022
t3=1.698741  pval3=0.091253
PNPLA4 avgexpression:4.343321
t2=4.925521  pval2=0.000001
t3=3.287154  pval3=0.001237
MYH13 avgexpression:0.086874
t2=-1.937348  pval2=0.053455
t3=-1.618953  pval3=0.107367
ADIPOR2 avgexpression:6.006197
t2=1.706401  pval2=0.088764
t3=0.896378  pval3=0.371357
CDKL3 avgexpression:0.429866
t2=1.529757  pval2=0.126922
t3=0.862389  pval3=0.389725
UPP2 avgexpression:0.106207
t2=-0.380687  pval2=0.703652
t3=-0.250243  pval3=0.802710
PRSS21 avgexpression:1.120583
t2=-2.910787  pval2=0.003821
t3=-1.143362  pval3=0.254544
MARK4 avgexpression:3.574282
t2=0.643130  pval2=0.520534
t3=0.187773  pval3=0.851285
PROM1 avgexpression:4.818223
t2=-0.345637  pval2=0.729810
t3=-0.484784  pval3=0.628472
CCDC124 avgexpression:6.800877
t2=1.296619  pval2=0.195562
t3=1.307970  pval3=0.192703
CEACAM21 avgexpression:1.345110
t2=-2.503296  pval2=0.012730
t3=-1.779614  pval3=0.076980
PAFAH1B1 avgexpression:4.484564
t2=-5.676962  pval2=0.000000
t3=-6.294922  pval3=0.000000
NOS2 avgexpression:4.410829
t2=-4.163783  pval2=0.000039
t3=-2.846475  pval3=0.004982
DNAH9 avgexpression:0.119084
t2=-0.077240  pval2=0.938474
t3=-1.731931  pval3=0.085155
KIAA0100 avgexpression:5.504167
t2=-1.125535  pval2=0.261084
t3=-1.864199  pval3=0.064070
SLC13A2 avgexpression:2.322917
t2=8.101519  pval2=0.000000
t3=4.893205  pval3=0.000002
GAS7 avgexpression:2.602670
t2=-0.978319  pval2=0.328549
t3=-1.614989  pval3=0.108224
TRAPPC6A avgexpression:6.480494
t2=6.667634  pval2=0.000000
t3=4.538650  pval3=0.000011
MATK avgexpression:1.372581
t2=-4.324999  pval2=0.000020
t3=-2.016949  pval3=0.045322
CEACAM7 avgexpression:6.291826
t2=3.303164  pval2=0.001048
t3=1.497631  pval3=0.136140
CD79B avgexpression:1.535296
t2=-1.214915  pval2=0.225165
t3=-0.453940  pval3=0.650469
SCN4A avgexpression:0.152841
t2=2.550178  pval2=0.011165
t3=1.295444  pval3=0.196976
ST7L avgexpression:2.240081
t2=-2.185908  pval2=0.029442
t3=-2.875545  pval3=0.004566
TKTL1 avgexpression:0.264061
t2=0.019600  pval2=0.984373
t3=0.801588  pval3=0.423944
PAX6 avgexpression:0.155317
t2=-1.142459  pval2=0.253994
t3=0.019226  pval3=0.984684
RPUSD1 avgexpression:5.464189
t2=2.610218  pval2=0.009412
t3=1.918623  pval3=0.056759
RHBDF1 avgexpression:4.899125
t2=5.021587  pval2=0.000001
t3=3.536257  pval3=0.000527
LUC7L avgexpression:4.219766
t2=0.735011  pval2=0.462793
t3=2.140588  pval3=0.033776
CACNA2D2 avgexpression:1.502788
t2=2.416608  pval2=0.016144
t3=1.780619  pval3=0.076815
BAIAP3 avgexpression:1.745104
t2=0.603996  pval2=0.546212
t3=0.454370  pval3=0.650160
TSR3 avgexpression:6.398754
t2=2.253104  pval2=0.024831
t3=1.735830  pval3=0.084461
PIGQ avgexpression:3.769958
t2=2.346496  pval2=0.019472
t3=1.857349  pval3=0.065044
CRAMP1 avgexpression:2.733841
t2=3.156205  pval2=0.001728
t3=2.858267  pval3=0.004809
TEAD3 avgexpression:5.565944
t2=3.400976  pval2=0.000744
t3=2.055158  pval3=0.041440
SELE avgexpression:1.597169
t2=-2.225648  pval2=0.026633
t3=-2.701500  pval3=0.007624
DNAJC11 avgexpression:4.702583
t2=-1.969359  pval2=0.049650
t3=-2.201613  pval3=0.029080
FMO3 avgexpression:0.964962
t2=1.440356  pval2=0.150603
t3=0.549673  pval3=0.583287
MYLIP avgexpression:5.024424
t2=6.591135  pval2=0.000000
t3=4.206015  pval3=0.000043
NOX1 avgexpression:7.205592
t2=12.424135  pval2=0.000000
t3=8.375400  pval3=0.000000
E2F2 avgexpression:3.308127
t2=-5.631059  pval2=0.000000
t3=-4.338890  pval3=0.000025
PSMB1 avgexpression:8.013760
t2=0.526905  pval2=0.598572
t3=0.524471  pval3=0.600655
SYN1 avgexpression:1.294580
t2=2.470389  pval2=0.013942
t3=1.881530  pval3=0.061661
JARID2 avgexpression:3.830386
t2=5.214007  pval2=0.000000
t3=2.472288  pval3=0.014439
CDKL5 avgexpression:1.312761
t2=1.301322  pval2=0.193949
t3=0.368531  pval3=0.712950
CAMK1G avgexpression:0.437872
t2=-4.778301  pval2=0.000003
t3=-3.378013  pval3=0.000911
CDK11A avgexpression:1.179153
t2=1.027138  pval2=0.305019
t3=2.043056  pval3=0.042638
NADK avgexpression:5.522293
t2=0.451097  pval2=0.652181
t3=0.290826  pval3=0.771549
TFAP2B avgexpression:0.028295
t2=0.469643  pval2=0.638884
t3=0.941159  pval3=0.347999
TFAP2D avgexpression:0.014383
t2=0.547463  pval2=0.584387
t3=1.048118  pval3=0.296117
DLEC1 avgexpression:0.516333
t2=-0.350420  pval2=0.726220
t3=0.081777  pval3=0.934923
CYTH3 avgexpression:3.975244
t2=1.956793  pval2=0.051116
t3=0.538699  pval3=0.590820
ADAM22 avgexpression:1.349495
t2=-3.999369  pval2=0.000077
t3=-3.548261  pval3=0.000505
SYPL1 avgexpression:7.466574
t2=1.901587  pval2=0.057993
t3=1.022713  pval3=0.307941
CYB561 avgexpression:6.018507
t2=-1.368322  pval2=0.172033
t3=-0.778627  pval3=0.437315
SPAG9 avgexpression:4.408810
t2=1.071475  pval2=0.284647
t3=-0.083700  pval3=0.933396
CELSR3 avgexpression:2.382251
t2=5.580049  pval2=0.000000
t3=4.220823  pval3=0.000040
AASS avgexpression:1.787457
t2=-1.482218  pval2=0.139124
t3=-1.879743  pval3=0.061906
PLEKHG6 avgexpression:5.440865
t2=10.046162  pval2=0.000000
t3=7.180531  pval3=0.000000
SS18L2 avgexpression:4.101116
t2=4.485907  pval2=0.000010
t3=4.135227  pval3=0.000056
MPND avgexpression:4.624191
t2=2.527781  pval2=0.011890
t3=1.767364  pval3=0.079016
MGST1 avgexpression:5.486837
t2=1.763261  pval2=0.078673
t3=1.028435  pval3=0.305250
CRY1 avgexpression:3.834931
t2=-4.305587  pval2=0.000021
t3=-4.069899  pval3=0.000073
PGLYRP1 avgexpression:0.600653
t2=-2.354493  pval2=0.019064
t3=-2.546241  pval3=0.011804
NFIX avgexpression:5.692940
t2=4.531089  pval2=0.000008
t3=1.278045  pval3=0.203029
ST3GAL1 avgexpression:3.253837
t2=-1.534207  pval2=0.125824
t3=-1.429801  pval3=0.154665
MMP25 avgexpression:1.443020
t2=-6.859110  pval2=0.000000
t3=-4.925920  pval3=0.000002
IL32 avgexpression:7.187430
t2=-1.580015  pval2=0.114949
t3=-2.498037  pval3=0.013468
PKD1 avgexpression:3.002106
t2=1.326263  pval2=0.185562
t3=0.713368  pval3=0.476626
MAPK8IP2 avgexpression:1.373013
t2=-3.006316  pval2=0.002823
t3=-2.455626  pval3=0.015101
MED24 avgexpression:5.555856
t2=2.861356  pval2=0.004455
t3=2.120711  pval3=0.035441
RHOBTB2 avgexpression:2.708439
t2=-2.358651  pval2=0.018855
t3=-1.384008  pval3=0.168225
HEATR5B avgexpression:3.660898
t2=0.448837  pval2=0.653810
t3=-0.637347  pval3=0.524782
SEC62 avgexpression:5.432944
t2=-0.532987  pval2=0.594359
t3=-1.000748  pval3=0.318414
RPS20 avgexpression:8.433190
t2=2.162489  pval2=0.031214
t3=2.211490  pval3=0.028376
CSDE1 avgexpression:7.985927
t2=-0.103150  pval2=0.917899
t3=-0.942127  pval3=0.347505
UBE3C avgexpression:5.432882
t2=0.783910  pval2=0.433589
t3=0.127242  pval3=0.898904
REV3L avgexpression:2.476963
t2=-2.775644  pval2=0.005786
t3=-2.891487  pval3=0.004351
TENM1 avgexpression:0.140378
t2=-0.379161  pval2=0.704783
t3=-0.054182  pval3=0.956856
PAX7 avgexpression:0.140487
t2=1.727559  pval2=0.084893
t3=1.201101  pval3=0.231433
MASP2 avgexpression:0.735256
t2=-0.550492  pval2=0.582310
t3=-0.689273  pval3=0.491620
IYD avgexpression:3.426155
t2=12.698103  pval2=0.000000
t3=7.474766  pval3=0.000000
FAM76A avgexpression:3.343542
t2=-1.390235  pval2=0.165284
t3=-1.965615  pval3=0.051022
TRAF3IP3 avgexpression:1.213403
t2=-5.363963  pval2=0.000000
t3=-3.004416  pval3=0.003076
POMT2 avgexpression:2.671587
t2=-3.467421  pval2=0.000587
t3=-2.642618  pval3=0.009019
VTA1 avgexpression:4.589499
t2=-1.933944  pval2=0.053874
t3=-1.540994  pval3=0.125234
MLXIPL avgexpression:4.298663
t2=5.695282  pval2=0.000000
t3=4.419714  pval3=0.000018
BAZ1B avgexpression:5.740374
t2=0.783223  pval2=0.433992
t3=-0.380356  pval3=0.704170
RANBP9 avgexpression:4.919425
t2=-0.615125  pval2=0.538846
t3=-1.539148  pval3=0.125684
ETV7 avgexpression:4.039926
t2=-5.984846  pval2=0.000000
t3=-5.664696  pval3=0.000000
SPRTN avgexpression:2.855403
t2=1.227681  pval2=0.220339
t3=-0.198637  pval3=0.842791
EEF1AKNMT avgexpression:5.474268
t2=3.273670  pval2=0.001161
t3=1.544923  pval3=0.124281
DYRK4 avgexpression:3.002229
t2=-6.180384  pval2=0.000000
t3=-4.047582  pval3=0.000079
ZNF207 avgexpression:4.933422
t2=0.572293  pval2=0.567468
t3=-0.050628  pval3=0.959683
UQCRC1 avgexpression:8.245857
t2=-0.624523  pval2=0.532665
t3=-0.288438  pval3=0.773374
STARD3NL avgexpression:4.660684
t2=4.470222  pval2=0.000010
t3=2.222544  pval3=0.027606
CD9 avgexpression:8.214771
t2=4.207494  pval2=0.000032
t3=2.193213  pval3=0.029691
HHATL avgexpression:0.034610
t2=0.268790  pval2=0.788240
t3=-0.148947  pval3=0.881778
NCAPD2 avgexpression:5.996354
t2=-0.958991  pval2=0.338183
t3=-1.323979  pval3=0.187341
IFFO1 avgexpression:2.337665
t2=-2.236543  pval2=0.025905
t3=-1.896574  pval3=0.059632
GIPR avgexpression:1.199864
t2=-4.451187  pval2=0.000011
t3=-2.874089  pval3=0.004586
PHF7 avgexpression:2.278032
t2=-2.429236  pval2=0.015601
t3=-1.805868  pval3=0.072762
SEMA3G avgexpression:2.050773
t2=0.301749  pval2=0.763011
t3=-0.455083  pval3=0.649648
NISCH avgexpression:4.561828
t2=0.451457  pval2=0.651922
t3=0.353287  pval3=0.724324
STAB1 avgexpression:3.535640
t2=-1.888202  pval2=0.059773
t3=-1.761382  pval3=0.080026
FUZ avgexpression:2.456661
t2=8.072293  pval2=0.000000
t3=5.213352  pval3=0.000001
SLC6A13 avgexpression:0.079259
t2=-1.696164  pval2=0.090687
t3=-2.154735  pval3=0.032633
IDS avgexpression:1.469633
t2=1.506000  pval2=0.132911
t3=-0.400933  pval3=0.688988
PRSS3 avgexpression:7.204352
t2=3.129708  pval2=0.001887
t3=1.823585  pval3=0.070024
ZNF200 avgexpression:2.645334
t2=-1.137966  pval2=0.255863
t3=-0.519394  pval3=0.604182
CD4 avgexpression:4.344258
t2=-4.547363  pval2=0.000007
t3=-3.719355  pval3=0.000273
LRRC23 avgexpression:2.748667
t2=3.163950  pval2=0.001684
t3=2.890975  pval3=0.004358
BTK avgexpression:1.778659
t2=-4.133594  pval2=0.000044
t3=-3.240437  pval3=0.001444
HFE avgexpression:2.977267
t2=-5.946167  pval2=0.000000
t3=-4.982976  pval3=0.000002
SCMH1 avgexpression:4.658397
t2=4.909012  pval2=0.000001
t3=2.625577  pval3=0.009464
FYN avgexpression:3.346787
t2=-6.058716  pval2=0.000000
