USP17L20    TAF11L9    1.0
CEL    PNLIPRP1    0.9984712138424972
CTRB2    GRIK1    0.998469862305592
CLPS    ERP27    0.9984689773955164
CLPS    CEL    0.998449964456627
CTRB1    GRIK1    0.9984467419761484
TSPY2    TSPY9P    0.9984465421841168
CEL    DLK1    0.9984446276558444
ERP27    DLK1    0.9984406811361908
ERP27    SYCN    0.99843828608134
CEL    SYCN    0.998435349664935
CTRB2    CEL    0.9984288440201172
TTC29    USP17L22    0.9984284912423138
AFP    ALB    0.998426277070336
ERP27    CTRB2    0.9984241700356968
GMNC    USP17L22    0.9984215340631876
CTRB1    CEL    0.9984123393664608
ERP27    CTRB1    0.9984115144444712
BPI    PRTN3    0.99840159237489
RBPJL    GRIK1    0.9983892304416528
ERP27    CPA2    0.9983558469291812
SPX    ERP27    0.9983536314010066
SPX    CEL    0.9982872639302088
CSH1    KRTDAP    0.9982695034528014
RBPJL    ERP27    0.9982597297050092
PLA2G1B    GRIK1    0.9982259592366288
CPA1    ERP27    0.9982205630209982
SMIM38    AP003071.5    0.9982173677074734
ERP27    REG3G    0.998212312642707
REG3G    CEL    0.9981956415368918
CPA2    GRIK1    0.9981945602593832
CPA1    CEL    0.9981919272363196
TSPY4    TSPY1    0.9981867656016088
CPA1    GRIK1    0.998182836618478
BPI    RNASE3    0.9981802994879754
TSPY4    TSPY9P    0.9981529473720464
CPA2    CEL    0.9981423959496046
REG3G    GRIK1    0.9981277204887398
SPX    SCG5    0.9981194990362562
CEL    PLA2G1B    0.99811656457486
ERP27    PLA2G1B    0.9981137730838108
CLPS    AQP12A    0.9981116717141412
AQP12A    PNLIPRP1    0.9981112864527664
KRTDAP    CSH2    0.9981021746634604
AQP8    ERP27    0.9980932945777116
CTRB2    AQP12A    0.9980764750937144
AQP12A    DLK1    0.9980708344895766
CLPS    SCG5    0.9980644136361752
SYCN    AQP12A    0.9980601214356872
TSPY4    TSPY10    0.998039036136834
CTRB1    AQP12A    0.9980276260156484
CPA1    AQP12A    0.9980272702370876
SPX    AQP12A    0.9980204180667608
RBPJL    CEL    0.9980099010167762
SCG5    DLK1    0.9980084873585816
SCG5    SYCN    0.9979990815067912
SCG5    CTRB2    0.9979921586813818
SCG5    PNLIPRP1    0.997987329424597
SCG5    CTRB1    0.9979824220111062
CDC20B    GMNC    0.9979069777764876
CPA2    AQP12A    0.997882152936712
LCN1    SERPINA9    0.9978373428153856
MYBPH    SERPINA9    0.9978159627615684
AQP8    GRIK1    0.9977860922059988
PSKH2    BSND    0.9977834047477924
CPA1    SCG5    0.997779120775412
REG3G    AQP12A    0.9977640072359591
SCG5    GRIK1    0.9977598556283934
CPA2    SCG5    0.9977539317246448
PLA2G1B    AQP12A    0.997718668649232
TTC29    CDC20B    0.9976946308270996
REG3G    SCG5    0.9976830682589112
SCG5    PLA2G1B    0.9976636075509704
RBPJL    AQP12A    0.9976404647636988
AQP8    CEL    0.9976347270918222
CSH1    CSHL1    0.9975898563693356
CSHL1    CSH2    0.9975539908175256
RBPJL    SCG5    0.9975418790109114
ACSM2B    AFM    0.9975099813107584
AFP    CCL16    0.9974791985498148
ERP27    GRIK1    0.9974035266486329
ERP27    CEL    0.997360271523536
AQP8    AQP12A    0.9973582634086025
ACSM2B    ALB    0.997357227535408
KRTAP1-4    TP53TG3C    0.9973444840532594
C1orf68    PSG5    0.9972321984455216
CCDC154    PERCC1    0.9972136880194972
CTRB1    PRSS1    0.9972024996323532
PNLIPRP1    PRSS1    0.9971646549885756
CTRB2    PRSS1    0.9971573472292088
CLPS    PRSS1    0.9971565194111394
LCN1    AADACL2    0.9971030079553248
SYCN    PRSS1    0.9970953061935752
CPA1    PRSS1    0.9970695694909824
DLK1    PRSS1    0.997040693308156
REG3G    PRSS1    0.9970170922841388
AQP8    SCG5    0.9970076157209156
TTC29    GMNC    0.9969909982953296
GRIK1    AQP12A    0.9969508169404162
CEL    GRIK1    0.996949396214366
MYBPH    AADACL2    0.996944231300068
PLA2G1B    PRSS1    0.9969413394393554
CSH1    SPRR2G    0.9969091676106252
CPA2    PRSS1    0.9968556554390487
SPX    PRSS1    0.996847870479101
AHSG    APOA2    0.9968059278333968
CEL    AQP12A    0.9967732526649709
SPRR2G    CSH2    0.9967638885285957
ERP27    SCG5    0.9967610489845684
ERP27    AQP12A    0.9967582825405864
SPX    SLC16A12    0.9967576967005456
RBPJL    PRSS1    0.9966612470028569
CTRB1    PNLIP    0.996659161446816
SCG5    CEL    0.9966306124603928
SLC16A12    PNLIPRP1    0.9966091211067956
CPA1    PNLIP    0.9966015012930908
SLC16A12    DLK1    0.9965839735501008
SLC16A12    SYCN    0.9965734966293852
CLPS    SLC16A12    0.9965659974043358
SLC16A12    CTRB2    0.9965395078352248
SPRR2G    KRTDAP    0.9965300371144388
ACSM2B    CCL16    0.996512700344632
SLC16A12    CTRB1    0.9965116214384756
RBPJL    SLC16A12    0.9964907948473392
ACSM2B    AFP    0.9963936254442808
SCG5    AQP12A    0.9963731110772168
PLA2G1B    PNLIP    0.9962665535153948
CLPS    PNLIP    0.9962368646881874
SLC16A12    PLA2G1B    0.9962363969676992
CPA1    SLC16A12    0.9962330162101958
SLC16A12    CPA2    0.9962185731403322
CTRB2    PNLIP    0.9962169483005604
AQP8    PRSS1    0.996188724647964
AL035460.1    PERCC1    0.996174195894659
OTUD6A    H3Y2    0.99617418140307
REG3G    SLC16A12    0.9961573484448376
APOA2    CCL16    0.9961039092759784
PNLIP    PNLIPRP1    0.9960939882175596
CSHL1    PSG1    0.9960254835350404
KRTAP4-8    TP53TG3C    0.9960215493013508
CFHR2    ALB    0.9960131322678332
KRTDAP    CSHL1    0.9960059182893212
AQP12A    PRSS1    0.9959849678630098
PNLIP    SYCN    0.995971838370968
AQP8    SLC16A12    0.9959689574368792
QRSL1    EFL1    0.9959557700512686
SLC16A12    GRIK1    0.995791541738414
PNLIP    DLK1    0.9957690123445242
ERP27    PRSS1    0.9956602273116848
CPA2    PNLIP    0.9956350845632056
SPX    PNLIP    0.9955945482808654
CEL    PRSS1    0.9955866640578062
AFP    SERPINC1    0.9955771094898582
UTP18    NME2    0.9955260760646588
GRIK1    PRSS1    0.9955011635254928
RBPJL    PNLIP    0.9954611563883712
REG3G    PNLIP    0.9954321160433188
CELA2A    CELA3A    0.9954129330542804
AFM    SERPINC1    0.9953684343699708
NPBWR2    MYBPH    0.995358468483222
NPBWR2    LCN1    0.9953355944057436
MYH8    MYBPH    0.9953347477397008
MYH8    LCN1    0.9952598617456372
SLC16A12    CEL    0.9952539089004558
SERPINA9    AADACL2    0.9952406626988396
FCRLB    SERPINA9    0.9952312854666244
ERP27    SLC16A12    0.9951758205001466
IFNK    PSG5    0.99515785081463
SLC16A12    SCG5    0.9951552544696508
AHSG    CCL16    0.9951375477568432
SCG5    PRSS1    0.9951248265313652
AQP8    PNLIP    0.9950684435082348
CFHR2    CCL16    0.9949976268315228
NPBWR2    MYH8    0.9949919936091888
LCE3D    SPRR2B    0.994977526785516
SERPINC1    CCL16    0.9949464058107792
OR5T1    OR8K5    0.99485155187046
AFP    CPN2    0.9948147988826344
ACSM2B    SERPINC1    0.9947591659643792
CSH1    PSG1    0.9947404691300864
LCN1    FCRLB    0.9947087880615028
AQP12A    AQP12B    0.9946936661059824
MYBPH    FCRLB    0.9946800127629905
SLC16A12    AQP12A    0.9946681407243932
CFHR2    AFP    0.9946302234348756
CPA1    CELA3A    0.9944920636168866
ACSM2B    CFHR2    0.9944848755858012
PNLIP    PRSS1    0.9944556004606246
CEL    PNLIP    0.9943830402887248
NPBWR2    AADACL2    0.994286744879404
GRIK1    PNLIP    0.994271514412552
CPA1    CELA2A    0.9942359226157764
LCE3E    SPRR2B    0.9942251969142598
MYH8    AADACL2    0.994135603184516
MBTD1    UTP18    0.9940927369002436
SCG5    PNLIP    0.9939638702862282
CELA2A    PNLIP    0.9938665147158248
PNLIP    AQP12A    0.9938402172813712
NPBWR2    NMS    0.993800666840402
NPBWR2    SERPINA9    0.9936376418313162
CSHL1    LCE3C    0.9935607601658334
CELA3A    PNLIPRP1    0.9934840403271724
PRSS27    RNF222    0.993445019584563
CLPS    CELA3A    0.9933805776666832
CELA3A    CTRB1    0.9933163209687568
GSG1    TSPYL6    0.9933062649913214
CELA3A    CPA2    0.9931478397242576
CELA3A    SYCN    0.9930969409955652
LCE2B    LCE2A    0.9930863343562952
CELA3A    PLA2G1B    0.9929609538879292
CELA3A    DLK1    0.9929562271853593
RBPJL    CELA3A    0.9928572689082692
CELA2A    CTRB1    0.9927572986484068
IFNK    NLRP10    0.9927170157384458
CELA2A    PNLIPRP1    0.9926564339461444
CLDN17    SPRR2E    0.9925906850530576
CELA2A    CPA2    0.9925258196120724
TSPAN6    NME1-NME2    nan
CELA3A    AQP12A    0.992755784827376
CELA2A    CTRB2    0.9924036170697644
FCRLB    AADACL2    0.9923846768822036
CSH1    LCE3C    0.9923755976602614
AQP8    CELA3A    0.9923420285098083
CSH2    LCE3C    0.9923143824759209
SLC16A12    PNLIP    0.9923101472716002
CELA2A    SYCN    0.9922296321566492
RBPJL    CELA2A    0.9921668124446504
CFHR2    SERPINC1    0.992092243294296
CTRC    PNLIP    0.9920506424935644
SPRR2G    PSG1    0.9918681208647744
AFM    APOA2    0.9918441349384324
LCE3D    KRTDAP    0.9917711170678544
SPX    CELA2A    0.991756002496857
MYH8    FCRLB    0.9917474507643296
MEP1B    MS4A10    0.991694644651559
CELA3A    CEL    0.9915837546782884
IFNK    C1orf68    0.9915711371549638
AQP8    CELA2A    0.9915584200205648
SPINK5    GBP6    0.991538622344046
CELA3A    GRIK1    0.9914772534497076
LCE2B    CSHL1    0.9914268585000774
CSH1    LCE2A    0.991393360662894
APOA2    ALB    0.991329234413804
IL36RN    CLDN17    0.9912343604271342
TAF11L11    SMIM40    0.9911437426125096
MS4A3    SERPINB10    0.9911370610064671
CELA3A    SCG5    0.9911091717242584
CSH1    LCE2B    0.9910153289952046
AFM    CPN2    0.990982719357904
ELANE    SERPINB10    0.9908215496602636
DEFA4    SERPINB10    0.9908132011364976
PPP1R17    MYH8    0.9907607283159284
ALB    CPN2    0.990709354553538
PRTN3    SERPINB10    0.9906873504507414
AHSG    ALB    0.9906398783250068
ERP27    CELA2A    0.9904727681314558
AFM    CFHR1    0.9904596057459852
RNASE3    SERPINB10    0.9904451596682116
CELA2A    PRSS1    0.990426703633478
ALB    CFHR1    0.9904165914664168
GSG1    PRSS38    0.9904027775519486
CELA3A    PNLIP    0.990320693168676
AFP    APOA2    0.9903106734069448
PPP1R17    NPBWR2    0.990303815421674
SPINK5    BNIPL    0.9902468757032704
ACSM2B    APOA2    0.9902300366346972
BNIPL    GBP6    0.9902242760798704
BPI    SERPINB10    0.9902110784891532
OR5T3    OR5T1    0.9901987770376458
TPH1    LRRTM3    0.990170902271016
VCY1B    VCY    0.9901589174980664
SERPINA9    NMS    0.990118862056642
CRNN    TMPRSS11B    0.9901042313547608
CCDC154    AL035460.1    0.989991320112414
SERPINC1    CPN2    0.9898727060083023
LCE2B    PSG1    0.9898714195342606
CFHR1    CCL16    0.9898520167331036
CELA2A    SCG5    0.9898277803475602
DEFB103A    KRTDAP    0.9897773314006336
CELA3A    SLC16A12    0.9897694020680612
ASCL1    SCN3A    0.9897634324305647
LCE2A    KRTDAP    0.9897591098977342
LCE2B    KRTDAP    0.989633804909265
DEFB103A    DEFB103B    0.9895954536489636
PPP1R17    NMS    0.9895574040513416
ACSM2B    AHSG    0.9895173394733592
SPRR2G    LCE3C    0.9895119374501202
NPAP1    PNMA6E    0.9894996801417686
GSG1    PNMA6E    0.9894869297057112
ACSM2B    CPN2    0.9894372844042036
OR5T1    OR5T2    0.9894020731035628
SPINK5    CRNN    0.9893991483396534
NLRP10    C1orf68    0.9892789768342032
TSPYL6    NPAP1    0.9891922475046572
PRB4    PRB1    0.9891581781195878
AFP    CFHR1    0.9890832981140444
DLX2    DLX1    0.989061883463566
KRTDAP    SPRR2B    0.9890058940457824
SLURP1    NCCRP1    0.9889544714631456
TSPAN6    CD99    nan
AFM    CFHR2    0.9959967006612046
SERPINC1    ALB    0.9951959213978468
KRTAP4-8    KRTAP1-4    0.9948212317196072
CSH2    PSG1    0.994693664786842
SPRR2G    CSHL1    0.994508721034453
ERP27    PNLIP    0.9944276874890322
SST    AL035460.1    0.994275899376422
KRTDAP    PSG1    0.9937708732805416
MYH8    SERPINA9    0.9934432763681276
MYH8    NMS    0.9933903297648868
TGM1    RHCG    0.9933685219364656
SLC16A12    PRSS1    0.993264958129092
CELA3A    CTRB2    0.9932405472412684
GSG1    NPAP1    0.9930686598123716
LCE3D    LCE3E    0.9929928262647816
SPINK5    TMPRSS11B    0.9929768323889512
SPX    CELA3A    0.9928862036388704
CELA2A    PLA2G1B    0.99287796855662
TPH1    LMX1A    0.9926659453223192
SPRR2G    LCE3D    0.9926537555314776
CLPS    CELA2A    0.99257994841507
CELA3A    REG3G    0.99257846313709
SST    PERCC1    0.992510401684996
CNFN    SPRR1A    0.9924362028287794
LCN1    NMS    0.9923411426163096
MYBPH    NMS    0.9922711053075908
SERPINC1    AHSG    0.9921717484512688
CELA2A    DLK1    0.9918730289590106
NPBWR2    FCRLB    0.99175081704219
SLC7A13    NPBWR1    0.9916876405653396
AADACL2    NMS    0.99160038271767
CELA2A    REG3G    0.9915423166472314
SMCO1    LY6L    0.9914452306120648
LCE2A    CSH2    0.9913925701330508
ERP27    CELA3A    0.991288569478591
CSH1    LCE3D    0.991239857354978
SPRR2G    SPRR2B    0.9911597804200788
CELA3A    PRSS1    0.9911064553685512
AFM    AHSG    0.991096368408455
LCE2B    CSH2    0.991059434350004
LCE3D    CSH2    0.9910368550138
CELA2A    CTRC    0.990995669579016
DYNAP    UGT1A7    0.9909530045865116
LCE2A    CSHL1    0.9909137076096476
CPN2    CCL16    0.990881988321676
AZU1    SERPINB10    0.9908573528447622
KRTDAP    LCE3C    0.9908377013817566
MPO    SERPINB10    0.9908345726572452
AFP    AHSG    0.9907412772135992
NLRP10    PSG5    0.9907156889378214
SPRR2G    DEFB103A    0.9906697542680404
LMX1A    LRRTM3    0.9906332297445942
PSG1    LCE3C    0.9906186834853944
CELA2A    CEL    0.9905023158072092
CELA2A    GRIK1    0.9904250386642928
KRT4    GBP6    0.9902539554124398
CELA2A    AQP12A    0.9898243226136187
TSPAN6    TTC27    0.4185229438201159
TSPAN6    AGK    0.3484217628853315
TSPAN6    CDC27    0.3214085499281626
TSPAN6    RFC1    0.3178457956308509
TSPAN6    POLDIP2    0.2957140526150719
TSPAN6    KDM7A    0.2767193967860852
TSPAN6    DNAJC11    0.2390590695279792
TSPAN6    ELOA    0.1871902880611569
TSPAN6    LYPLA2    0.1758285069663084
TSPAN6    HIVEP2    0.1375299485175551
TSPAN6    CLCN6    0.128233685035344
TSPAN6    KLHL13    0.0688173258971467
TSPAN6    ETV1    0.0482396350819451
TSPAN6    SLC4A1    0.0448916800996194
TSPAN6    CDH10    0.0357388969306547
TSPAN6    BAIAP2L1    0.0053983579058935
TSPAN6    FMO1    0.0015720309031478
TSPAN6    FYN    -0.0060070354447856
TSPAN6    C6    -0.0063925368917314
TSPAN6    MRC2    -0.0389449968076682
