USP17L20    TAF11L9    1.0
DEFB103A    CSH2    0.9867383935826308
CSH1    FLG2    0.9864892218719272
LCE3D    PSG1    0.9863253256542224
KRTDAP    HBG2    0.9859296002605628
PAPPA2    TPH1    0.9849566487160052
HBG2    PSG1    0.9849432132378064
DEFB103B    SPRR2B    0.984857175455666
SLC16A12    AQP12B    0.9847642927058076
RBPJL    CTRC    0.9843659553650054
DEFB103A    CSHL1    0.9843058580893556
CSH1    SPINK6    0.9840565659259306
GBP6    MUC21    0.983898730178049
G6PC    ENPP7    0.9838841260571994
CLPS    CTRC    0.9838479988298016
PGLYRP3    SBSN    0.983747991586312
BSND    NFILZ    0.9837291742320246
FLG2    SPRR2G    0.9837244166930202
IZUMO4    FCRLB    0.983723531464946
DMRTB1    UROC1    0.9836209306513156
CSTA    CLCA2    0.9835463026540616
PRSS27    TMPRSS11A    0.9834631443998404
LCE2D    CSHL1    0.9833806732452296
SLC6A18    MROH2B    0.9832716914280958
CHRNA2    RBPJL    0.9831283052991407
RHCG    SPRR3    0.9831186464227692
BPI    CEACAM8    0.9828636163183934
CLCA4    DYNAP    0.9826012147998322
CEACAM8    DEFA4    0.9825858877096808
PPL    A2ML1    0.9824922201122126
LCE2A    HBG2    0.9823815044713002
CHRNA2    SYCN    0.9823398260217096
KRTAP1-4    KRTAP3-2    0.9822686237509334
IZUMO4    NPBWR2    0.9822642451628696
CHRNA2    ERP27    0.9822440945876972
MYL9    KCNMB1    0.9822143592721752
MS4A10    ASAH2    0.982210374333492
GNG13    LCN1    0.9821443775446635
SPRR2B    LCE3C    0.9821427254814517
MPO    CEACAM8    0.9820971911579628
S100A8    NCCRP1    0.9820223705740492
MMP8    MS4A3    0.9819402518161332
CNN1    ACTG2    0.9819102952389412
ERP27    CTRC    0.9817516609905624
LIMS2    KCNMB1    0.9817358732265056
CHRNA2    CEL    0.9817217286084704
CAPSL    GMNC    0.9817142846911988
MPO    MMP8    0.9816835966026864
CLCA2    TMPRSS11A    0.9816022477671678
LMOD1    RBPMS2    0.9815619585755372
AZU1    PRSS57    0.9813093946063726
CHRNA2    AQP12A    0.9810640803105882
LCE2D    KRTDAP    0.9809067526820212
CTRC    SCG5    0.98069857747362
CAPSL    CDC20B    0.980632872834474
CSH1    DEFB103B    0.9804925857582306
RNASE3    PRSS57    0.9804915789773384
CALHM1    AADACL2    0.9804474701899274
OBP2A    OBP2B    0.9804126695827916
DEFB103A    LCE3C    0.9803707635234356
CNFN    SPRR2A    0.98035032164887
SPRR4    SPRR2B    0.9803158237304878
CPA1    PTF1A    0.980275177708541
DEFB103B    CSH2    0.9802522609492924
CACNG3    PNLIPRP1    0.9802070891420862
LCE2A    SPRR2B    0.9801672238515986
CACNG3    CLPS    0.9800661115637156
PTF1A    PNLIPRP1    0.9799928973594382
PSG3    LCE3C    0.9799825594686395
CACNG3    CTRB1    0.9799402265232636
ENDOU    BNIPL    0.9797098324298792
DDX1    NBAS    0.9796910157870224
USP29    GOLGA6L7    0.9793404915980022
CHRNA2    PRSS1    0.9793143879767922
CLPS    ST8SIA3    0.9791993388088456
IZUMO4    NMS    0.9790753862317624
PKP1    TGM1    0.9790567964913164
KRTDAP    RPTN    0.9790447794050192
TGM1    CRNN    0.979044496467254
REG3G    GP2    0.9790382933300216
CSTA    CRNN    0.9789755354093076
AQP8    PTF1A    0.9788631239202278
PGLYRP3    SERPINB13    0.9787507688832908
SERPINB3    RHCG    0.978747954902838
MYLK    SYNM    0.9787417831199294
TMPRSS11A    NCCRP1    0.9786251584953932
LEXM    DYNAP    0.9782966561832906
ACVR1    PKP4    0.9782703894175449
TGM3    SLURP1    0.9781679473195852
TP53TG3C    KRTAP3-2    0.9780619334055876
LCE3D    HBG2    0.9780471173630284
DEFB103A    LCE2A    0.9780033001097076
MYL9    TPM2    0.9778969603478188
CHRNA2    PNLIP    0.977866632514316
BPIFC    LCE2A    0.9777650714407734
ST8SIA3    AQP12A    0.9777415582264276
LCE2B    SPRR4    0.9777058552237692
PTF1A    PRSS1    0.9776466481240268
SPRR2G    LCE3E    0.9775617557546964
POU2F2    CLEC17A    0.9774914177882628
NEUROD4    SPX    0.9773006837524902
PGM5    SMTN    0.9769690961232806
LCE3A    LCE3E    0.976952101786431
GP2    PRSS1    0.9768610096808948
LCE3E    KRTDAP    0.976675489922884
ACTRT2    FER1L5    0.9765787251724578
SPINK5    DSC3    0.9764156959562336
SLURP1    PRSS27    0.9762818332248296
SPINK5    MUC21    0.9761345499338572
KRTDAP    VSIG8    0.9761206596940376
SLURP1    LEXM    0.9760258762401508
SPRR2D    SDR9C7    0.9759879279445652
BSND    INSM2    0.9759790278467568
CSH1    VSIG8    0.975573623810185
NEUROD4    PNLIPRP1    0.975569214617509
FCRLB    SLC22A1    0.9755366593925472
NEUROD4    SYCN    0.9755204074269586
FILIP1    CFL2    0.975518608093372
NEUROD4    AQP12A    0.9752749743423624
TGM5    PGLYRP3    0.9752087355225416
IGLL1    NMS    0.9751971047008148
TMPRSS11B    MUC21    0.975164451992376
SLC16A12    GP2    0.9751613400566724
NEUROD4    CPA2    0.975055275144896
PNLIP    ST8SIA3    0.9748745236738124
SCEL    CLCA2    0.9747981403181812
CLDN17    WFDC5    0.9747138000054756
APOA4    RBP2    0.97449105168481
KCNMB1    RBPMS2    0.9744899506053926
SST    ACTRT2    0.974478533959365
TMPRSS11A    RNF222    0.9743896824525798
SPRR4    RPTN    0.9743652922925023
DSC3    TMPRSS11B    0.9743179315413556
POU4F1    INSM2    0.9743085313946444
PKP1    PGLYRP3    0.9742452677874816
PRSS57    SERPINB10    0.9740718965441392
SPRR2B    RPTN    0.9740534370282132
FLG2    BPIFC    0.9740343079709056
SERPINB3    S100A8    0.9740192075616988
TBC1D10C    SEPTIN1    0.973539360922907
MEP1B    ENPP7    0.9734907692209532
CACNG3    CELA3A    0.9733627959903866
WAS    DOK3    0.9733541040079132
RASAL3    TBC1D10C    0.9733155261125822
LCE3E    CSHL1    0.9732262686869044
LMOD1    TPM2    0.9731970471349464
SPRR4    VSIG8    0.9731434943751918
LYPD3    IVL    0.9730708601218964
APOA4    DEFB131A    0.9730667235204462
TGM5    CLCA2    0.972987479424946
LCE2A    RPTN    0.9729532131703568
NCCRP1    RNF225    0.9729143996715128
LIMS2    TAGLN    0.9728502167183648
SCEL    TMPRSS11B    0.9728082118223852
DEFB103B    LCE2A    0.9726366020385084
RNF222    CYSRT1    0.9725758283219924
MYLK    PGM5    0.9724769238881906
WNT8A    PRAMEF20    0.9724190883202892
CAPSL    TEKT1    0.9721977948665188
TPM1    SYNM    0.972083139805718
CSTA    TMPRSS11A    0.9720492210701716
CLCA4    UGT1A7    0.9720398159120468
TNS1    KANK2    0.9720230372096352
CSHL1    PSG2    0.9719676627819296
CELA3A    ST8SIA3    0.9718846564599972
SPINK5    ADH7    0.9718579578114576
AADACL2    IQCJ    0.9717372499447812
HBG2    PSG3    0.97168651535704
ENDOU    PAX9    0.9716635043885024
TGM3    PGLYRP3    0.9714253322420274
LCE2A    LCE2C    0.9714196001457128
TGM5    NCCRP1    0.9713990818914464
SPINK6    HBG2    0.971397704633848
NEUROD4    PNLIP    0.9712717066137904
CELA2A    ST8SIA3    0.9712524007445962
LIMS2    TGFB1I1    0.9712063065433668
SERPINE3    NPBWR1    0.9711516359583692
MRGPRF    DACT3    0.9710537697421906
INSM2    NFILZ    0.9709422584045828
TMPRSS11B    RNF225    0.9709273680210876
ENDOU    SCEL    0.9708570594090424
KRT4    ADH7    0.9708034113016922
FLG2    PSG3    0.9706948213529616
MYL9    RBPMS2    0.9706821337103736
SERPINA9    P2RY8    0.9705744933463428
KRT4    KRT15    0.9704949997212132
SPRR4    PSG3    0.9704291517947518
IGLL1    CALHM1    0.9704031627950386
BPIFC    LCE2D    0.9702277242210078
RHCG    CRNN    0.9702182922275618
SLC7A2    TPH1    0.9700594194901349
A2ML1    PAX9    0.97001822353538
TGM7    WFDC5    0.9698006575430564
WFDC5    DEFB103A    0.9697864645369376
DEFB103A    BPIFC    0.9697246818559216
HPCA    VWA5B2    0.969671058349296
CLCA4    TMPRSS11B    0.9695879069109544
LCN1    IQCJ    0.969560867510994
KRT78    MUC21    0.9695340649066048
PPP1R17    GNG13    0.9695176144624236
TMPRSS11D    SDR9C7    0.9695053894270794
PPP1R12B    SYNPO2    0.9695032926814828
MAL    PRSS27    0.9694505926466068
CNN1    DNAJB5    0.9693123850422448
SCEL    A2ML1    0.9693053827389928
SORBS1    SVIL    0.9692994084896762
DSC3    BNIPL    0.969079457114092
SERPINB3    KRT13    0.9690641853081028
AHSG    ACSM2A    0.968840032445488
G6PC    ASAH2    0.9688226661572862
CACNG3    AQP12B    0.968771688969556
SPINK5    ANXA1    0.9687691740173284
NEUROD4    CELA3A    0.9687101692340364
TGM3    RNF222    0.9686821179539276
SPRR2B    PSG3    0.9686678686010004
MS4A10    SLC2A7    0.9686590406892036
ANXA1    TMPRSS11A    0.9686505974755212
MYLK    ASB2    0.9686447567559806
MYLK    DNAJB5    0.9686141141807336
ALG13    SERTM2    0.9686093092561576
PGLYRP3    TMPRSS11B    0.9685905283852756
A2ML1    SERPINB13    0.968579655790345
DEFB110    CCDC166    0.9685663678682472
ADH7    RNF225    0.9685224735263088
TGM5    TMPRSS11A    0.968512940375656
KRT78    TMPRSS11A    0.9684933021158302
MYLK    FLNA    0.9684120191936882
DEFB103A    PSG3    0.9683794746171764
POU4F1    NFILZ    0.9683481531457516
ACTG2    DES    0.9683476185933594
SORBS1    KCNMA1    0.968318542460702
PKP1    CRNN    0.9683145495274468
OPRL1    FCRLB    0.9682838210197529
COL5A1    COL1A2    0.9682721783040036
TAGLN    TPM2    0.9682609563688118
DEFB103A    RPTN    0.968226906854566
CSH2    LCE1F    0.9681954396635896
TREH    ASAH2    0.9680493837150695
CHRNA2    CTRC    0.967954530457553
CERS3    SBSN    0.9679514849807056
FLG2    DEFB103B    0.9678662887416238
TREH    MEP1B    0.9677991697270985
S100G    ASAH2    0.9677365654528168
EPGN    TMPRSS11A    0.9677263811025716
NEUROD4    CELA2A    0.9676649091602006
CSHL1    LCE1F    0.9676165316695472
LCE3D    LCE1F    0.9675655117903657
TTC25    CSNKA2IP    0.9674833782595438
MYL9    ACTA2    0.9674298746668866
SPINK5    RHCG    0.9673549452921356
PRSS27    EPGN    0.9672833674810254
SERPINA9    IQCJ    0.9672526275004288
RHCG    CERS3    0.9669739676791002
BNIPL    IVL    0.9669449339192586
SORBS1    DIXDC1    0.966800197806343
AFM    SLC38A4    0.9667423802160175
MYOCD    DIXDC1    0.9665795802537608
CSN2    OBP2B    0.966560205735611
SERPINB3    PKP1    0.9665395502857136
SLC38A4    ALB    0.9665005723202804
SPINK5    SERPINB13    0.9664798408767704
DSC3    A2ML1    0.9664021693729395
MYBPH    HTR3A    0.9663491038653504
S100A8    SPRR3    0.9663076367646868
SPINK6    PSG3    0.9663028411120408
PCSK2    ASCL1    0.9661932038741436
COL1A2    COL3A1    0.966192425739697
LCE2D    RPTN    0.9661911427177542
FEV    SLC18A2    0.9661811825266672
LCE3D    WFDC5    0.9660480437807089
TAS1R3    SERPINA9    0.9659429602859184
LIMS2    CSRP1    0.9658491844550336
GBP6    PAX9    0.9658465674858528
WAS    CORO1A    0.9658124890569444
SPRR2G    LCE1F    0.9657441849204376
WNT8A    PRAMEF18    0.9656403076430208
S100A8    CERS3    0.9656345442901088
TGM5    CRNN    0.965609051910015
ASCL1    NFILZ    0.9655447416716508
S100A8    LEXM    0.9655291529417138
SERPINB3    GBP6    0.9654364833272572
SST    ADGRA1    0.9653814663617488
OPRL1    NPBWR2    0.9653537090757138
SERPINB3    PRSS27    0.9653487253366552
MYL9    PGM5    0.9651910429409136
TGM1    TMPRSS11B    0.965123175491324
LCE2C    KRTDAP    0.9651092514880938
PPL    SCEL    0.9650574858315304
SCEL    SBSN    0.9650052602476108
ANXA1    SPRR3    0.964982830082787
CSRP1    LMOD1    0.96491133600759
MAP4K1    MYO1G    0.9648554271976842
CACNG3    CTRC    0.9648426197343698
MYL9    TGFB1I1    0.9648032524838224
A2ML1    KRT15    0.9647495547081528
CTRC    PTF1A    0.9647479113718672
TPM1    SMTN    0.964730746347322
SERPINB3    SBSN    0.9647273237430316
OPRL1    LCN1    0.9647182427753695
SLC38A4    CCL16    0.9646908050169328
CAPSL    LRRN3    0.9646843385885688
GMNC    ANKRD66    0.964682738345812
POU2AF1    CD27    0.9646761607214612
UCN3    SBK2    0.9644056323184478
FABP2    DEFB131A    0.964403185632198
LIMS2    TPM2    0.9643496493622384
SLURP1    KRT78    0.9643472731829302
TGM3    PRSS27    0.9643268663148178
VSIG10L    SBSN    0.964233636297012
KRT13    EPGN    0.9641082073645209
CTRC    GP2    0.9640962964107572
ANXA1    CRNN    0.964004946252556
PCSK2    SCN3A    0.963918595765344
ANKRD66    USP17L22    0.9638333525230824
PGLYRP3    SPRR3    0.963791255251194
ZNF750    KRT78    0.9637793950793078
SMTN    TPM2    0.9637350684886204
MAP4K1    CD27    0.9637329191744236
DAND5    TSPY1    0.9637098561261022
VTN    FGA    0.963643957358452
CSH1    PSG2    0.9636327892052254
A2ML1    CAPN14    0.9636022624733556
KRT13    MAL    0.9635320661172854
SERPINI2    GRIK1    0.9634952016369196
FCRLB    IQCJ    0.9634872408863407
PAPPA2    NEUROD2    0.9634764305101748
LEXM    RNF222    0.9633914667055944
SPRR2G    LCE2C    0.9633776439129588
FERMT2    CFL2    0.9633438777760428
PPL    GBP6    0.9632607449440668
MAL    DEFB104B    0.9631025557597952
LCE3E    HBG2    0.9629203270838314
TGFB1I1    KCNMB1    0.9628714740727192
TGM1    DSC3    0.9628050789346184
LDB3    DNAJB5    0.9627482386382764
HPCA    FEV    0.9626788859913472
BNIPL    SBSN    0.9624914968654796
VWA5B2    SLC18A2    0.9623990024377438
RTN4IP1    QRSL1    0.9622933801613134
LYPD3    KRT13    0.9622887976685144
SPINK6    VSIG8    0.9622816611868318
CRNN    ADH7    0.9622394170634008
LEXM    KRT78    0.9621866030048468
TSPY2    DAND5    0.962147183829577
OPRL1    MYH8    0.9621247021326472
S100A8    RNF225    0.9620945760370726
ZIM3    EFCAB3    0.9619930551121108
RHCG    SBSN    0.9619789385836016
TPM1    LMOD1    0.9619678918871238
MYL9    CNN1    0.9618912620206752
SLURP1    CERS3    0.9618369863377182
AFM    CFHR5    0.961821474291907
FCRLA    TNFRSF13C    0.9617135241579156
IVL    KRT4    0.9616915077060304
MYH11    DMD    0.9616830182642888
SERPINI2    PNLIPRP1    0.961674760374419
CLCA2    MUC21    0.9616593067947372
DSC3    SBSN    0.961625939980105
ACTA2    DACT3    0.961617245473733
TGM5    SERPINB13    0.9615580042461784
SLURP1    EPGN    0.9615493404565192
MPO    ARG1    0.961512184814056
ASB2    CSRP1    0.9615003201370578
CPED1    DIXDC1    0.9614965255847956
ARG1    PRTN3    0.9614852068991662
SERPINI2    CLPS    0.9614655930662016
RPTN    PSG3    0.9614412134277438
CHRNA2    GP2    0.9614401384725842
LDB3    TPM1    0.9614336845892536
CELA3A    CELA3B    0.9614327156177984
TGM1    VSIG10L    0.9613568101300948
FAM167A    LMX1A    0.9613283735084666
SERPINB3    SLURP1    0.9613224310613372
AQP8    SERPINI2    0.9613112865019996
ARSF    LGALS7    0.9612832617107436
KRIT1    GATAD1    0.9612492319643776
CRNN    KRT78    0.9612240662298172
ANXA1    RHCG    0.9612067488413336
PRSS1    PRSS2    0.961178422924308
SERPINI2    CPA2    0.9610786186826678
GJB6    CERS3    0.960996616621712
IGLL1    SLC22A1    0.9609792672602758
SORBS1    FLNA    0.960967409636282
F13B    CPN2    0.9609605070077604
BNIPL    EPGN    0.9609584107896436
GNG13    SLC22A1    0.9608933385981464
LEXM    RNF225    0.9608884548650996
SERPINI2    REG3G    0.9608787357054251
CACNG3    GP2    0.9607902427610132
DSC3    ADH7    0.9607767870757012
SERPINI2    SLC16A12    0.960767698112792
TGFB1I1    ARHGEF25    0.9607528604749525
DSC3    PGLYRP3    0.9607417013498988
CLCA4    CLCA2    0.9607200887559856
POU2F2    MAP4K1    0.9607188885442156
LPXN    DOK3    0.9606621372626954
PKP1    TGM5    0.96063539905946
MSRB3    FLNA    0.9606298874528808
S100A8    KRT13    0.9606218763061772
CLCA4    RNF225    0.9606200316252824
GRHL3    IVL    0.9606098516329789
ROPN1L    CDC20B    0.960596717743943
SPRR2G    PSG2    0.9605558263347156
RDH8    KRT12    0.9605483441850088
MYLK    SORBS1    0.9605386648830072
SPINK7    TMPRSS11D    0.9604600269271648
PPP1R17    MEF2B    0.960456751592804
MYOCD    CFL2    0.9604388016747826
TEX11    CPA2    0.9604096077099368
DYNAP    RNF225    0.9604025229364712
DOCK2    ARHGAP25    0.960394115730028
SERPINB3    TGM5    0.9603625741573296
DEFB104B    UGT1A7    0.9603250046510498
CACNG5    FEV    0.960127711800796
TNS1    MSRB3    0.9600953489947808
PTF1A    GP2    0.960095070804952
PGLYRP3    VSIG10L    0.9600698737637424
DLL3    TACR1    0.9600024591919892
CACNG3    PTF1A    0.9599861318238692
PGM5    RBPMS2    0.9598993737838938
LCE3E    VSIG8    0.9598617305194108
ATP2B3    AL035460.1    0.95978162231981
TGM3    SCEL    0.9597271577993166
SERPINI2    CEL    0.959705453998232
PRSS27    RNF225    0.9596567797209604
MYH11    JPH2    0.9596392395196494
SERPINI2    PNLIP    0.9595697955591598
PLAGL1    PERCC1    0.9595672943627652
CACNG3    ST8SIA3    0.9595520224816032
RDH8    AADACL4    0.9595326266790049
MYBPH    MEF2B    0.9595215229233274
SLC28A1    ASAH2    0.9594910651086606
MYLK    CFL2    0.9592862096380832
NEUROD4    CTRC    0.9592750882556416
DLL3    BSND    0.9592741875762956
CSTA    IVL    0.9592418870017504
PGM5    PDZRN4    0.959227479728789
TMPRSS11A    ADH7    0.95919565864338
NKX2-2    FEV    0.9591917803028684
SERPINI2    AQP12A    0.9591222155259472
LCE2B    WFDC5    0.9589698462258484
PGM5    PLN    0.9589619088322108
TEX11    SPX    0.9589088619931286
CSTA    DYNAP    0.9589066478992768
ASCL1    ADCY1    0.958879049836459
TAS1R3    NMS    0.9588677742375116
DLL3    PSKH2    0.9588138191433714
LYPD3    RNF222    0.9588049080506292
GP2    ST8SIA3    0.9587802066759592
SPINK5    VSIG10L    0.9587679581073284
AFM    CPB2    0.9586741266653332
GH2    CSH2    0.958639232475592
PPP1R12B    CFL2    0.958531059094217
POU2F2    MEF2B    0.9585017468147368
ZNF74    OPN1MW3    0.9584988413676314
EMP1    ANXA1    0.9584516014186664
ANXA1    PGLYRP3    0.9584437273826468
AQP12A    CELA3B    0.9584327139155404
PKP1    SCEL    0.9584123753080424
CPB2    CCL16    0.9583572294510532
BPIFC    LCE1F    0.9583548640328772
TEX11    DLK1    0.9583371399501072
IZUMO4    HTR3A    0.958318382553486
SPATA48    MEF2B    0.9582939399251714
GH2    LCE2B    0.9582802383607008
TEX11    CLPS    0.9582690219749274
ENDOU    RHCG    0.9582658447371188
IL36RN    SPRR2D    0.958252613807308
PGLYRP3    CAPNS2    0.958251773934825
CPB2    ALB    0.9581818529261292
PKP1    SLURP1    0.9581659241374204
NDST4    SCN3A    0.9581388562245337
CACNG5    TMEM196    0.9581308609232586
LCE3E    LCE2D    0.9581255204945648
SLC38A4    CPN2    0.9580810534633116
SERPINI2    CELA2A    0.9580278827163567
PPP1R12B    FILIP1    0.958017910790031
LMX1A    FEV    0.9580138932508288
MYH8    P2RY8    0.9580093489427174
TPH1    FEV    0.9579537027334302
LMOD1    MSRB3    0.9579111820344356
CLCA4    TMPRSS11A    0.9579082690637823
BNIPL    VSIG10L    0.957899690814606
KRT13    NCCRP1    0.9578882692055808
POU2F2    DOK3    0.9577304741059433
NDST4    NFILZ    0.957721964126385
CLCA4    CSTA    0.9576572937726596
CDC20B    ZBTB8B    0.9576379410850092
FERMT2    PRICKLE2    0.9575852118293148
IRAG1    CPXM2    0.9575751330941916
HSPB8    RBPMS2    0.9574973118750916
VWA5B2    FAM167A    0.957491817374349
CSRP1    RBPMS2    0.9574654292383208
FHL1    RBPMS2    0.9573863281967364
MAP4K1    CLEC17A    0.957378522272386
PKP1    SERPINB13    0.9573371871653812
AFP    SLC17A2    0.95733270399198
FABP2    C3orf85    0.9573247579942968
TMPRSS7    TSPY1    0.9573097285785978
ANXA1    RNF225    0.957293811354132
MAL    CYSRT1    0.9572852233016408
CCKBR    GNMT    0.9572521436487826
SPRR1B    SPRR2E    0.95718475467845
ATP2B4    DIXDC1    0.9571671848812072
DLL3    CACNA1A    0.957166599596038
FLNC    ITGA7    0.9571273969640168
ASAH2    SLC2A7    0.9571044530946824
TGM5    PRSS27    0.9571031658109898
CRNN    TMPRSS11A    0.9570957657936572
ENDOU    DSC3    0.956994240475262
IVL    NCCRP1    0.9569717763072372
SLC17A2    F13B    0.9569610682165888
TEX11    ERP27    0.956940140987561
ATP2B3    PERCC1    0.9569286646966226
SPRR4    LCE1F    0.9569015775016116
SLURP1    GBP6    0.95689532223028
ENPP3    ASAH2    0.956872938758116
SPRR2E    SPRR2F    0.9568707261250926
CSTA    MAL    0.9568251448784624
GJB6    TMPRSS11D    0.9568189075001244
PSKH2    OPCML    0.9567888871989194
TNS1    SORBS1    0.9567661982032772
CABP5    TSGA13    0.9567644865775502
CNTN6    SMCO1    0.9567642059634878
SCEL    CERS3    0.956762956704102
MYLK    DMD    0.9567559419866036
BNIPL    MAL    0.9567179918870096
BHLHE23    ZIM2    0.956652865490418
FAM167A    FEV    0.9565962712552848
ZNF729    ZNF723    0.9565702788872026
SPRR4    SPRR2E    0.956558674063502
DEFB103B    VSIG8    0.956558363755673
DNAJB5    C8orf88    0.9565473987586918
CLDN8    RTN4RL2    0.9565349036700852
FILIP1    MSRB3    0.956494447173466
TEX11    CEL    0.9564769743113798
SPATA48    P2RY8    0.9564312613538242
ACTRT2    ADGRA1    0.9564273182694948
HBG2    LCE1F    0.9564036864521732
MSRB3    KANK2    0.9563485414703804
FLNC    DNAJB5    0.9562755543640198
SPATA48    HTR3A    0.9562075297999624
ARSF    UGT1A7    0.956187313060343
PGM5    RNF150    0.9561834501915052
CASP14    IFNK    0.9561475733538084
MAL    TMPRSS11A    0.9561396489792952
DYNAP    TMPRSS11A    0.956132027953338
VWA5B2    OR2T4    0.956100563116464
TNS1    AOC3    0.9560909034648972
WFDC5    BPIFC    0.956083422860962
PGLYRP3    A2ML1    0.956045700357242
CLCA2    PRSS27    0.95592819277953
DIXDC1    AKAP6    0.955905282829824
TGM3    TMPRSS11A    0.9558726924833688
CPXM2    FLNA    0.9558415144374804
GNG13    TAS1R3    0.9558381251003722
SERPINB13    TMPRSS11F    0.95582293762986
DIXDC1    CFL2    0.9557878679338958
DEFB131A    C3orf85    0.955781458023888
PGLYRP1    ARG1    0.9557536301707868
